Anio,Mes,Departamento,Municipio,Evento,Altitud,PrecipitacionPromedio,TemperaturaPromedio
2001,10,RISARALDA,SANTA ROSA DE CABAL,INUNDACION,1600,297.5,18.7
2005,06,ANTIOQUIA,APARTADO,AVALANCHA,23,285.3,26.7
2013,03,CUNDINAMARCA,PACHO,INCENDIO ESTRUCTURAL,2000,149.3,16.7
1999,11,CORDOBA,AYAPEL,INUNDACION,22,198.7,27.4
2011,03,CUNDINAMARCA,FUSAGASUGA,INUNDACION,1460,154.9,20.4
2009,03,NORTE DE SANTANDER,CUCUTA,INUNDACION,100,148.6,27.3
2012,07,NARINO,PASTO,INCENDIO FORESTAL,2830,136.3,10.6
2005,06,CHOCO,BOJAYA,VENDAVAL,20,413.9,26.8
2011,04,CUNDINAMARCA,FUSAGASUGA,DESLIZAMIENTO,1460,138.6,20.3
2009,06,CORDOBA,AYAPEL,INUNDACION,22,290.9,27.9
2011,11,VALLE DEL CAUCA,TULUA,INUNDACION,2902,129.6,11.3
2000,05,NARINO,TUQUERRES,INUNDACION,3120,108.4,11.4
2013,05,VALLE DEL CAUCA,CALI,EXPLOSION,954,132.9,25.2
2005,02,CORDOBA,MONTERIA,INCENDIO ESTRUCTURAL,30,14.5,27.2
2012,04,CASANARE,YOPAL,INUNDACION,325,262.6,26.6
2012,06,HUILA,NEIVA,INCENDIO FORESTAL,1691,65.7,19
2013,01,CHOCO,LLORO,INCENDIO ESTRUCTURAL,90,579.7,26.1
1999,12,CHOCO,QUIBDO,VENDAVAL,53,631.8,26.2
2010,04,QUINDIO,ARMENIA,INUNDACION,1229,262.6,22
2011,03,CUNDINAMARCA,ALBAN,DESLIZAMIENTO,2200,132.5,15.6
2000,06,ATLANTICO,SOLEDAD,VENDAVAL,14,83,28.2
2013,02,SANTANDER,GIRON,INUNDACION,777,70.8,25.4
2007,03,CAUCA,PURACE,SISMO,2085,165.8,16
2012,04,BOYACA,CUBARA,INUNDACION,370,379.7,24.5
2006,11,VALLE DEL CAUCA,LA UNION,AVALANCHA,2314,226.9,14.6
1999,10,ATLANTICO,BARRANQUILLA,INUNDACION,2,167.1,28
2010,09,RISARALDA,SANTA ROSA DE CABAL,VENDAVAL,1600,189.2,19.4
2013,02,CASANARE,YOPAL,INCENDIO FORESTAL,325,53.7,28.7
2012,04,RISARALDA,PEREIRA,VENDAVAL,1342,249.3,21.5
2011,06,CUNDINAMARCA,JERUSALEN,VENDAVAL,316,46.3,28
2013,09,SANTANDER,GIRON,INCENDIO FORESTAL,777,90.7,25.2
2011,06,MAGDALENA,SAN SEBASTIAN DE BUENAVISTA,INUNDACION,25,157.6,28.4
2004,07,SUCRE,COROZAL,INUNDACION,166,138.7,27.6
2010,08,ATLANTICO,JUAN DE ACOSTA,INUNDACION,20,132.4,28.2
2013,09,TOLIMA,GUAMO,INCENDIO FORESTAL,360,112.5,28.7
2010,10,NORTE DE SANTANDER,SARDINATA,EXPLOSION,320,265.6,26.5
2012,03,RISARALDA,PUEBLO RICO,INUNDACION,1530,146,18.5
2011,06,SUCRE,BUENAVISTA,INCENDIO ESTRUCTURAL,2200,75.8,16.1
2012,01,CAQUETA,SAN VICENTE DEL CAGUAN,INCENDIO FORESTAL,300,49.1,27.3
2013,03,ARAUCA,ARAUCA,INCENDIO FORESTAL,128,50.6,28.8
2003,09,ANTIOQUIA,MEDELLIN,AVALANCHA,1490,181.8,22.4
2012,10,CUNDINAMARCA,FUSAGASUGA,VENDAVAL,1460,147.1,20.6
2008,11,BOYACA,SOCOTA,EXPLOSION,3590,114.9,6.6
2013,06,VALLE DEL CAUCA,BOLIVAR,INUNDACION,2300,45.3,16.8
2013,03,SANTANDER,RIONEGRO,DESLIZAMIENTO,2090,131.7,17
2010,09,ATLANTICO,BARRANQUILLA,DESLIZAMIENTO,2,135.7,28.2
1998,02,SANTANDER,LEBRIJA,INUNDACION,1189,89.1,21.7
2006,11,META,GRANADA,INUNDACION,360,225.3,25.6
2011,11,NARINO,SAN BERNARDO,DESLIZAMIENTO,2190,311.5,15.5
1999,02,SANTANDER,CIMITARRA,INUNDACION,300,157,27.2
2009,02,BOGOTA DC,BOGOTA DC,EXPLOSION,2570,51.3,13.9
2007,11,BOGOTA DC,BOGOTA DC,VENDAVAL,2570,95.3,13.8
2005,05,CORDOBA,SAN CARLOS,INUNDACION,1113,454.5,23
2009,05,ANTIOQUIA,CIUDAD BOLIVAR,DESLIZAMIENTO,2100,290.4,17.1
2008,12,NORTE DE SANTANDER,HERRAN,DESLIZAMIENTO,2500,76,13.5
2007,11,NARINO,SAN PABLO,INUNDACION,165,223.1,27.8
1999,02,NORTE DE SANTANDER,SALAZAR,DESLIZAMIENTO,1000,124.2,21.4
2013,07,SANTANDER,BUCARAMANGA,VENDAVAL,1018,111.7,23.1
2008,04,BOGOTA DC,BOGOTA DC,INUNDACION,2570,83.7,14
2010,04,SUCRE,BUENAVISTA,VENDAVAL,2200,207.7,16
2000,10,CESAR,SAN MARTIN,INUNDACION,250,264.9,25.6
2012,04,CUNDINAMARCA,GUASCA,INUNDACION,2750,83.4,13.6
2013,09,NORTE DE SANTANDER,EL ZULIA,INCENDIO FORESTAL,90,188,28
2001,06,NORTE DE SANTANDER,ABREGO,INUNDACION,1430,96,21.3
2005,11,CALDAS,AGUADAS,DESLIZAMIENTO,2180,195.8,16.1
2008,11,CALDAS,SALAMINA,DESLIZAMIENTO,2696,219.1,11
2012,02,CAQUETA,FLORENCIA,INCENDIO FORESTAL,280,193.2,25.8
2010,12,BOYACA,CAMPOHERMOSO,INUNDACION,1300,86.7,21.4
2005,05,ANTIOQUIA,FREDONIA,DESLIZAMIENTO,530,219.7,25.9
2013,01,HUILA,ALTAMIRA,INCENDIO FORESTAL,1352,81.7,23.4
2002,04,SANTANDER,CIMITARRA,INUNDACION,300,307.3,27
2000,01,CALDAS,MANIZALES,INCENDIO ESTRUCTURAL,2058,103.5,16.9
2002,05,BOYACA,SANTA MARIA,DESLIZAMIENTO,1300,157,21.1
2012,03,CORDOBA,MONTELIBANO,INUNDACION,50,63,27.6
2013,09,BOYACA,VILLA DE LEYVA,INCENDIO FORESTAL,2215,67.4,17
2008,05,VALLE DEL CAUCA,PALMIRA,INUNDACION,1058,117.2,23.3
1999,02,SANTANDER,EL CARMEN DE CHUCURI,INUNDACION,815,106.8,24.4
2012,01,VALLE DEL CAUCA,ZARZAL,INCENDIO FORESTAL,941,57.1,24.5
2013,01,CAQUETA,FLORENCIA,INCENDIO ESTRUCTURAL,280,106.3,26
2007,05,RISARALDA,PEREIRA,INUNDACION,1342,257.4,21.4
2008,12,BOYACA,TUNJA,INUNDACION,2690,32.8,13.2
2013,07,TOLIMA,ESPINAL,ACCIDENTE DE TRANSITO,475,65.9,27.6
2007,08,PUTUMAYO,VILLAGARZON,INUNDACION,358,260.4,24.5
2012,05,SANTANDER,BARRANCABERMEJA,INUNDACION,126,373.7,27.7
2012,08,TOLIMA,GUAMO,INCENDIO FORESTAL,360,47.8,29.3
2008,02,ANTIOQUIA,MEDELLIN,DESLIZAMIENTO,1490,81.4,22.7
2012,01,CAQUETA,FLORENCIA,INCENDIO FORESTAL,280,106.3,26
2003,10,CORDOBA,LORICA,INUNDACION,30,152,27
2005,05,CORDOBA,MONTERIA,INUNDACION,30,174.6,27.4
2009,06,MAGDALENA,ZONA BANANERA,VENDAVAL,20,147.1,28.1
2013,03,CAQUETA,SAN JOSE DEL FRAGUA,INCENDIO ESTRUCTURAL,320,355,25.3
2010,06,CAUCA,MIRANDA,AVALANCHA,1128,73.6,23.5
2004,05,CAUCA,PATIA,VENDAVAL,635,167.3,25.9
2011,04,ANTIOQUIA,PENOL,DESLIZAMIENTO,1956,270.2,18.3
2013,08,SANTANDER,BUCARAMANGA,INCENDIO FORESTAL,1018,81.7,23.2
2010,08,LA GUAJIRA,DIBULLA,INUNDACION,5,149.2,27.5
2013,01,CUNDINAMARCA,NEMOCON,INCENDIO FORESTAL,2580,23.7,13.8
2012,01,CAQUETA,SAN VICENTE DEL CAGUAN,INCENDIO FORESTAL,300,49.1,27.3
2012,01,CUNDINAMARCA,MOSQUERA,EXPLOSION,2543,22.3,12.8
2010,11,HUILA,VILLAVIEJA,INUNDACION,430,183.6,26.9
2011,09,CAUCA,LA SIERRA,INCENDIO ESTRUCTURAL,1870,106.1,18.6
2012,06,ARAUCA,SARAVENA,INCENDIO ESTRUCTURAL,148,420.6,24.9
2009,07,ANTIOQUIA,CAUCASIA,VENDAVAL,55,393,28
1999,11,VALLE DEL CAUCA,ZARZAL,INUNDACION,941,135.7,24
2008,07,ANTIOQUIA,MEDELLIN,DESLIZAMIENTO,1490,133.1,23.1
2012,06,TOLIMA,IBAGUE,INUNDACION,750,92.4,25.1
2012,11,BOGOTA DC,BOGOTA DC,VENDAVAL,2570,95.3,13.8
2011,04,BOYACA,MONIQUIRA,INUNDACION,1700,236,19.5
2011,06,CUNDINAMARCA,BOJACA,VENDAVAL,2650,44.5,13.1
2012,05,NORTE DE SANTANDER,CUCUTA,DESLIZAMIENTO,100,202.4,28.3
2010,07,TOLIMA,GUAMO,SISMO,360,52.5,28.3
2005,10,LA GUAJIRA,MANAURE,INUNDACION,1,114.1,28.7
2013,06,HUILA,GIGANTE,ACCIDENTE DE TRANSITO,1500,108.9,19.6
2013,01,BOYACA,TUNJA,INCENDIO FORESTAL,2690,18.1,13.3
2012,08,BOGOTA DC,BOGOTA DC,INCENDIO FORESTAL,2570,48.3,13.8
2010,04,VALLE DEL CAUCA,CALI,TORMENTA ELECTRICA,954,139.8,25
2000,05,NARINO,SAN BERNARDO,INUNDACION,2190,169.6,16
1998,05,QUINDIO,CALARCA,INUNDACION,1450,203.9,20.6
2009,11,TOLIMA,LERIDA,INUNDACION,350,131.3,26.9
2000,05,NARINO,SAN BERNARDO,DESLIZAMIENTO,2190,169.6,16
2008,08,ATLANTICO,SOLEDAD,INUNDACION,14,112.6,28.1
2007,06,SANTANDER,VELEZ,DESLIZAMIENTO,2170,186.1,16.7
2003,10,CALDAS,VILLAMARIA,DESLIZAMIENTO,4150,192.2,4.4
2012,09,VALLE DEL CAUCA,BOLIVAR,DESLIZAMIENTO,2300,57,16.9
2004,11,CHOCO,MEDIO SAN JUAN,INUNDACION,40,528.5,25.8
2012,09,BOYACA,CUBARA,INUNDACION,370,519.5,24.6
1999,10,CORDOBA,CIENAGA DE ORO,INUNDACION,40,149.3,27.5
2010,08,ANTIOQUIA,TAMESIS,VENDAVAL,1151,202.3,23
2012,09,CAUCA,SOTARA,INCENDIO FORESTAL,2450,58.4,14.3
2008,10,CORDOBA,SAN BERNARDO DEL VIENTO,INUNDACION,22,66.3,27.1
2011,11,CUNDINAMARCA,TENJO,DESLIZAMIENTO,2560,80.5,13.8
2012,08,RISARALDA,PEREIRA,INCENDIO ESTRUCTURAL,1342,129,22
2012,05,VALLE DEL CAUCA,YUMBO,INCENDIO FORESTAL,1500,119.5,20.6
2006,05,LA GUAJIRA,FONSECA,INUNDACION,170,93.9,28.1
2012,09,NARINO,TAMINANGO,SEQUIA,1875,92.9,18.1
2012,08,CORDOBA,PUERTO ESCONDIDO,VENDAVAL,15,192.6,27.6
2008,10,ANTIOQUIA,VENECIA,INUNDACION,1600,310.8,19.1
2004,10,TOLIMA,PRADO,VENDAVAL,349,240.5,28
2013,01,SANTANDER,PUERTO WILCHES,INCENDIO FORESTAL,138,47.7,29
2010,10,CALDAS,MANIZALES,DESLIZAMIENTO,2058,209,16.6
2009,12,HUILA,ALTAMIRA,VENDAVAL,1352,86.5,23.1
2006,05,BOYACA,PUERTO BOYACA,INUNDACION,350,251.3,27.8
2012,02,ANTIOQUIA,BELLO,INCENDIO FORESTAL,1438,53,22.2
2012,02,MAGDALENA,SALAMINA,EROSION,2696,91.4,11.3
2013,04,BOGOTA DC,BOGOTA DC,DERRAME,2570,83.7,14
2012,01,NARINO,SAN PABLO,INUNDACION,165,26.5,28.7
2012,01,CAQUETA,SAN VICENTE DEL CAGUAN,INCENDIO FORESTAL,300,49.1,27.3
2004,10,SANTANDER,EL CARMEN DE CHUCURI,VENDAVAL,815,273.9,23.7
2009,11,NORTE DE SANTANDER,HERRAN,INUNDACION,2500,127.9,13.8
2011,05,TOLIMA,CAJAMARCA,INUNDACION,2120,130.8,15.8
2012,09,HUILA,BARAYA,INCENDIO FORESTAL,1275,51.5,23.5
2011,11,CUNDINAMARCA,FUSAGASUGA,DESLIZAMIENTO,1460,157.5,20.2
2009,07,PUTUMAYO,SIBUNDOY,INUNDACION,2067,204.3,14.7
2010,08,CHOCO,QUIBDO,INUNDACION,53,865.8,26.8
2011,06,CUNDINAMARCA,YACOPI,VENDAVAL,1347,216.9,21.6
2007,05,SANTANDER,PUERTO PARRA,INUNDACION,168,315.2,28.1
2011,07,GUAINIA,INIRIDA,INUNDACION,100,509.1,25.6
2011,01,NARINO,BARBACOAS,INCENDIO ESTRUCTURAL,1010,413,20.4
1998,09,HUILA,COLOMBIA,AVALANCHA,1476,168,19
2010,07,BOLIVAR,MAGANGUE,INCENDIO ESTRUCTURAL,18,175.7,28.3
2008,10,NORTE DE SANTANDER,CUCUTA,INUNDACION,100,339.9,27.9
2012,08,CESAR,AGUACHICA,INCENDIO ESTRUCTURAL,208,161.9,28.3
2012,04,BOYACA,VILLA DE LEYVA,INUNDACION,2215,123,17.3
2001,01,CUNDINAMARCA,FUNZA,INCENDIO FORESTAL,2545,26.6,14.1
2012,01,CAUCA,CAJIBIO,DESLIZAMIENTO,1850,250.1,18.3
2012,01,CAQUETA,SAN VICENTE DEL CAGUAN,INCENDIO FORESTAL,300,49.1,27.3
2008,08,ANTIOQUIA,BELLO,INUNDACION,1438,127.1,22.5
2011,08,ATLANTICO,SOLEDAD,VENDAVAL,14,112.6,28.1
2012,09,TOLIMA,VILLAHERMOSA,VENDAVAL,2029,232,17
2011,12,BOLIVAR,MAGANGUE,INUNDACION,18,47.3,27.7
2011,06,MAGDALENA,SANTA MARTA,INUNDACION,30,70.4,27.2
2013,01,CESAR,SAN DIEGO,INCENDIO FORESTAL,350,13.1,26.1
2002,10,NORTE DE SANTANDER,PAMPLONA,AVALANCHA,2340,141.7,15.4
2012,07,HUILA,CAMPOALEGRE,INCENDIO FORESTAL,553,36.2,26.7
2013,08,NARINO,TAMINANGO,INCENDIO FORESTAL,1875,43,18.8
2008,12,CESAR,SAN MARTIN,INUNDACION,250,55.8,26.1
2006,10,CESAR,MANAURE,VENDAVAL,1,114.1,28.7
2011,04,ANTIOQUIA,MEDELLIN,DESLIZAMIENTO,1490,170.7,22.4
2010,10,TOLIMA,IBAGUE,DESLIZAMIENTO,750,170.9,24.8
2010,02,VALLE DEL CAUCA,ZARZAL,SEQUIA,941,74.9,24.9
2013,09,BOYACA,BUENAVISTA,INCENDIO FORESTAL,2200,128.3,16.2
2008,12,BOYACA,TOCA,INUNDACION,2700,46.6,13.5
2008,02,META,VILLAVICENCIO,DESLIZAMIENTO,423,132.2,27.2
2006,06,ANTIOQUIA,TURBO,INUNDACION,37,252.5,27.5
2003,08,TOLIMA,PRADO,INCENDIO FORESTAL,349,38.6,29
2007,11,CALDAS,MANIZALES,DESLIZAMIENTO,2058,176.5,16.6
2008,05,ATLANTICO,SOLEDAD,TORNADO,14,118,28.2
2005,01,BOLIVAR,EL GUAMO,INUNDACION,75,16.7,28.1
2012,02,CAQUETA,SAN VICENTE DEL CAGUAN,INCENDIO FORESTAL,300,124.1,27.3
2013,06,ANTIOQUIA,VEGACHI,VENDAVAL,995,204,22.8
2008,10,BOGOTA DC,BOGOTA DC,VENDAVAL,2570,101,13.8
2013,02,CASANARE,TAURAMENA,INCENDIO FORESTAL,460,52.8,26.5
2011,05,CHOCO,LLORO,INUNDACION,90,759.2,26.6
2001,05,CESAR,VALLEDUPAR,INUNDACION,70,167,29
2012,09,VALLE DEL CAUCA,YUMBO,INCENDIO FORESTAL,1500,71.7,20.9
2010,08,BOGOTA DC,BOGOTA DC,INCENDIO ESTRUCTURAL,2570,48.3,13.8
2003,11,VALLE DEL CAUCA,CALI,INCENDIO ESTRUCTURAL,954,117.9,24.6
2013,08,CORDOBA,MONTERIA,INUNDACION,30,173.8,27.4
2013,10,META,BARRANCA DE UPIA,ACCIDENTE,190,277,26.7
2010,04,SANTANDER,PUERTO WILCHES,INUNDACION,138,290.9,28.8
2012,05,CAUCA,SAN SEBASTIAN,INUNDACION,2900,94,11.2
2004,10,MAGDALENA,ZONA BANANERA,INUNDACION,20,247.9,27.2
2010,12,HUILA,PITALITO,INUNDACION,1320,80.7,20.8
2010,12,VALLE DEL CAUCA,BUENAVENTURA,DESLIZAMIENTO,5,675.8,25.3
2008,05,NORTE DE SANTANDER,CACHIRA,INUNDACION,1882,123.1,17.5
2007,12,TOLIMA,VILLAHERMOSA,INUNDACION,2029,185,16.6
2009,08,ANTIOQUIA,VALPARAISO,VENDAVAL,270,237.2,25.6
2011,03,RISARALDA,PEREIRA,VENDAVAL,1342,220.2,21.9
2007,10,MAGDALENA,ZONA BANANERA,INUNDACION,20,247.9,27.2
2012,04,CUNDINAMARCA,SOACHA,INUNDACION,2900,93.8,12
2006,05,ANTIOQUIA,TURBO,INUNDACION,37,290.7,27.4
2010,11,NORTE DE SANTANDER,LA PLAYA,INUNDACION,1500,83,19.4
2001,02,TOLIMA,LERIDA,INCENDIO FORESTAL,350,75.5,28.1
2013,02,CASANARE,YOPAL,INCENDIO FORESTAL,325,53.7,28.7
2010,02,TOLIMA,VILLAHERMOSA,VENDAVAL,2029,192.2,16.6
2011,08,ANTIOQUIA,BELLO,DESLIZAMIENTO,1438,127.1,22.5
2012,04,AMAZONAS,LETICIA,INUNDACION,84,376.4,26
2012,06,NORTE DE SANTANDER,ABREGO,INUNDACION,1430,96,21.3
2013,09,ANTIOQUIA,VENECIA,INUNDACION,1600,297.9,19.9
2013,05,ATLANTICO,REPELON,INUNDACION,10,125.5,28.6
2013,02,CESAR,SAN MARTIN,VENDAVAL,250,63.5,26.6
2011,12,CUNDINAMARCA,TENJO,INUNDACION,2560,55.4,13.5
2000,09,NORTE DE SANTANDER,EL ZULIA,INUNDACION,90,188,28
2007,01,MAGDALENA,SANTA MARTA,INUNDACION,30,33.8,25.1
2002,05,CHOCO,MEDIO SAN JUAN,INUNDACION,40,535.5,26.3
2001,01,PUTUMAYO,MOCOA,VENDAVAL,650,200.6,23.4
1998,05,ANTIOQUIA,VENECIA,INUNDACION,1600,345.9,20.1
2013,02,VALLE DEL CAUCA,BOLIVAR,INCENDIO ESTRUCTURAL,2300,135.8,16
2002,07,HUILA,COLOMBIA,DESLIZAMIENTO,1476,330.7,17.6
2011,10,ANTIOQUIA,CAUCASIA,INUNDACION,55,337.5,27.5
2013,04,BOYACA,CHITA,INCENDIO FORESTAL,2888,109.3,12.5
2007,11,CAUCA,BOLIVAR,INUNDACION,2300,224,15.7
2009,09,NORTE DE SANTANDER,CUCUTA,DESLIZAMIENTO,100,221.6,28.4
2013,07,CASANARE,OROCUE,INUNDACION,130,309.1,25.5
2010,10,CUNDINAMARCA,SOACHA,DESLIZAMIENTO,2900,98.2,11.7
2011,06,NARINO,BARBACOAS,DESLIZAMIENTO,1010,330.9,20.5
2010,12,NORTE DE SANTANDER,CACHIRA,VENDAVAL,1882,39.7,16.5
2011,05,SANTANDER,SURATA,INUNDACION,1850,157.4,17.9
2010,11,CALDAS,MANIZALES,DESLIZAMIENTO,2058,176.5,16.6
2013,04,SANTANDER,CERRITO,INCENDIO FORESTAL,2698,146.8,13.8
2006,05,BOGOTA DC,BOGOTA DC,INUNDACION,2570,96.9,14.1
2009,01,LA GUAJIRA,DIBULLA,INUNDACION,5,28.9,26.1
2011,10,SANTANDER,RIONEGRO,AVALANCHA,2090,225.2,16.5
2013,08,LA GUAJIRA,DIBULLA,INCENDIO FORESTAL,5,149.2,27.5
1998,11,TOLIMA,IBAGUE,DESLIZAMIENTO,750,125.7,24.4
2010,11,SANTANDER,ZAPATOCA,INUNDACION,1810,111.4,18.4
2008,01,NARINO,SAN ANDRES DE TUMACO,INUNDACION,1,341.8,25.8
2006,05,BOGOTA DC,BOGOTA DC,DESLIZAMIENTO,2570,96.9,14.1
2009,03,TOLIMA,CAJAMARCA,ERUPCION VOLCANICA,2120,92.6,15.8
2005,11,MAGDALENA,SANTA MARTA,INUNDACION,30,211.9,26.5
2008,12,ANTIOQUIA,MEDELLIN,INCENDIO ESTRUCTURAL,1490,104.8,21.9
1999,04,CUNDINAMARCA,PUERTO SALGAR,INUNDACION,172,232.7,28.5
2012,03,CASANARE,OROCUE,INCENDIO FORESTAL,130,81.9,28.2
2013,05,BOLIVAR,RIO VIEJO,VENDAVAL,160,211,28.1
2013,07,HUILA,NEIVA,INCENDIO FORESTAL,1691,63.7,18.7
2011,11,CALDAS,MANIZALES,DESLIZAMIENTO,2058,176.5,16.6
2013,09,MAGDALENA,ZONA BANANERA,INUNDACION,20,183.3,27.5
2013,03,ATLANTICO,BARRANQUILLA,INUNDACION,2,1.3,26.9
2012,03,CESAR,SAN MARTIN,VENDAVAL,250,189.9,26.1
2005,09,VALLE DEL CAUCA,YUMBO,DESLIZAMIENTO,1500,71.7,20.9
1999,02,VALLE DEL CAUCA,GUADALAJARA DE BUGA,INUNDACION,979,73.3,24
2010,07,ATLANTICO,BARRANQUILLA,INUNDACION,2,44.1,28.2
2009,06,CAUCA,PIENDAMO,COLAPSO,1800,79.6,19.2
2011,09,CORDOBA,MONTERIA,VENDAVAL,30,169.8,27.1
2007,06,ATLANTICO,BARRANQUILLA,VENDAVAL,2,72,28.4
2006,07,VICHADA,PUERTO CARRENO,INUNDACION,50,487.9,26.6
2007,12,BOLIVAR,MONTECRISTO,INUNDACION,100,240.7,27.8
1998,08,CASANARE,VILLANUEVA,INUNDACION,255,309,24.8
2012,04,VALLE DEL CAUCA,CALI,DESLIZAMIENTO,954,139.8,25
2012,08,BOLIVAR,ZAMBRANO,INUNDACION,25,110.1,28.1
2013,10,HUILA,PALERMO,INCENDIO FORESTAL,460,196.1,26.9
2011,08,CESAR,VALLEDUPAR,INUNDACION,70,154.9,29
2013,04,SANTANDER,BUCARAMANGA,INCENDIO FORESTAL,1018,120.6,23.3
2011,09,CAQUETA,FLORENCIA,INCENDIO ESTRUCTURAL,280,274.6,24.9
2013,07,NORTE DE SANTANDER,TEORAMA,ACCIDENTE AEREO,1160,110.4,22.2
2013,03,CHOCO,QUIBDO,INCENDIO ESTRUCTURAL,53,554.5,26.9
2013,02,LA GUAJIRA,RIOHACHA,INCENDIO ESTRUCTURAL,4,1.6,27.2
2012,11,MAGDALENA,SANTA MARTA,INUNDACION,30,211.9,26.5
2002,06,SANTANDER,GIRON,INUNDACION,777,71.7,25.2
2013,06,RISARALDA,SANTUARIO,DESLIZAMIENTO,1650,176.2,19.3
2012,08,BOYACA,NUEVO COLON,SISMO,2438,102.8,13.4
1998,05,BOYACA,PUERTO BOYACA,INUNDACION,350,251.3,27.8
2011,02,BOGOTA DC,BOGOTA DC,INCENDIO ESTRUCTURAL,2570,51.3,13.9
2013,01,BOYACA,TUNJA,INCENDIO FORESTAL,2690,18.1,13.3
2011,04,HUILA,NEIVA,INCENDIO ESTRUCTURAL,1691,190.9,18.8
2013,04,QUINDIO,ARMENIA,VENDAVAL,1229,262.6,22
2005,08,CAUCA,CAJIBIO,VENDAVAL,1850,60,19.1
2011,10,CALDAS,MANIZALES,DESLIZAMIENTO,2058,209,16.6
2009,05,CHOCO,QUIBDO,DESLIZAMIENTO,53,722.4,27
2006,05,TOLIMA,FLANDES,INUNDACION,286,157.6,28.1
2010,04,VALLE DEL CAUCA,CALI,DESLIZAMIENTO,954,139.8,25
2010,11,CUNDINAMARCA,MOSQUERA,INUNDACION,2543,79.3,13.2
2005,11,RISARALDA,PEREIRA,VARIOS,1342,287.9,20.9
2007,01,HUILA,SANTA MARIA,DESLIZAMIENTO,1300,87.5,20.8
2008,11,CUNDINAMARCA,PUERTO SALGAR,INUNDACION,172,247.5,28
2003,02,TOLIMA,MELGAR,INUNDACION,319,108.1,28.4
2008,11,SANTANDER,PUERTO WILCHES,INUNDACION,138,254.3,28.3
2013,01,RISARALDA,SANTUARIO,INCENDIO FORESTAL,1650,111.2,19.1
2012,10,CHOCO,LLORO,INUNDACION,90,621.4,26.2
2008,05,CAUCA,PATIA,INUNDACION,635,167.3,25.9
2011,09,RISARALDA,PEREIRA,INUNDACION,1342,195.9,21.5
2010,06,LA GUAJIRA,URIBIA,INUNDACION,85,14.2,27.9
2008,06,RISARALDA,PEREIRA,DESLIZAMIENTO,1342,196.1,21.5
1999,10,MAGDALENA,ZONA BANANERA,INUNDACION,20,247.9,27.2
1998,02,SUCRE,SAN BENITO ABAD,VENDAVAL,20,14.7,28.4
2013,03,CUNDINAMARCA,SAN FRANCISCO,DESLIZAMIENTO,2475,176.3,13.5
2009,04,CAUCA,GUAPI,INUNDACION,10,436.3,26.3
2009,04,TOLIMA,PLANADAS,DESLIZAMIENTO,1355,233.8,22.2
2007,06,ATLANTICO,MANATI,INUNDACION,10,125.3,27.8
1998,10,ANTIOQUIA,MEDELLIN,DESLIZAMIENTO,1490,226.7,21.8
2009,11,HUILA,CAMPOALEGRE,AVALANCHA,553,206.8,25.8
2011,08,ATLANTICO,BARRANQUILLA,INUNDACION,2,86.9,28.3
2000,05,BOLIVAR,SAN PABLO,INUNDACION,165,347.2,28.1
2005,11,CORDOBA,CIENAGA DE ORO,INUNDACION,40,107.6,27.8
2012,06,ATLANTICO,REPELON,INUNDACION,10,105.9,28.7
2007,07,SANTANDER,MOGOTES,VENDAVAL,1667,248.7,18.6
2008,10,BOLIVAR,ZAMBRANO,INUNDACION,25,122.5,27.7
2002,10,LA GUAJIRA,MAICAO,INUNDACION,118,214.3,27
2012,07,VICHADA,CUMARIBO,TORMENTA ELECTRICA,125,403.6,25
1999,11,VALLE DEL CAUCA,BUENAVENTURA,INUNDACION,5,728.5,25.2
2003,01,CHOCO,LLORO,INUNDACION,90,579.7,26.1
2011,10,BOGOTA DC,BOGOTA DC,DESLIZAMIENTO,2570,101,13.8
2010,12,NARINO,TAMINANGO,INUNDACION,1875,180.2,17.1
2006,11,TOLIMA,PRADO,INUNDACION,349,251.6,27.5
2010,11,NORTE DE SANTANDER,CUCUTA,INUNDACION,100,290.6,27.3
2012,03,NORTE DE SANTANDER,CUCUTA,INUNDACION,100,148.6,27.3
2012,04,NARINO,PROVIDENCIA,DESLIZAMIENTO,1,27,27.7
2010,06,VALLE DEL CAUCA,CALI,INCENDIO ESTRUCTURAL,954,66.7,25.1
1999,11,RISARALDA,PEREIRA,INUNDACION,1342,287.9,20.9
2006,11,VALLE DEL CAUCA,CALI,INCENDIO ESTRUCTURAL,954,117.9,24.6
2012,02,CUNDINAMARCA,GACHETA,INCENDIO FORESTAL,1752,48.4,19.5
2012,09,CUNDINAMARCA,SOACHA,INCENDIO FORESTAL,2900,52.8,11.7
2013,03,ARAUCA,ARAUCA,INCENDIO FORESTAL,128,50.6,28.8
2013,07,ANTIOQUIA,BELLO,VENDAVAL,1438,120.9,22.5
2010,01,CHOCO,BAHIA SOLANO,SISMO,4,273.9,26
2013,09,BOYACA,QUIPAMA,ACCIDENTE MINERO,1250,274.9,21.9
2001,02,TOLIMA,COYAIMA,INUNDACION,485,134.6,28.3
2010,08,ANTIOQUIA,LA UNION,DESLIZAMIENTO,2314,334.3,15
2013,10,NORTE DE SANTANDER,SARDINATA,ACCIDENTE MINERO,320,265.6,26.5
2011,04,TOLIMA,GUAMO,INUNDACION,360,203.9,27.4
1999,10,ANTIOQUIA,CAUCASIA,INUNDACION,55,337.5,27.5
2013,01,HUILA,NEIVA,INCENDIO ESTRUCTURAL,1691,165,18.6
