Anio,Mes,Departamento,Municipio,Evento,Altitud,PrecipitacionPromedio,TemperaturaPromedio
2006,05,ANTIOQUIA,NECOCLI,INUNDACION,10,205.6,27.2
2010,02,NORTE DE SANTANDER,OCANA,SEQUIA,1435,19.3,20.8
2012,09,TOLIMA,DOLORES,INCENDIO FORESTAL,1456,70.9,21.7
2011,07,CALDAS,MANIZALES,INUNDACION,2058,74.2,17.2
2013,10,TOLIMA,CHAPARRAL,INCENDIO FORESTAL,1000,350.5,23.2
2007,11,CAUCA,LA SIERRA,DESLIZAMIENTO,1870,399,17.3
2002,07,RISARALDA/CALDAS,SANTA ROSA DE CABAL,INCENDIO FORESTAL,1600,157.6,20
2007,10,ATLANTICO,REPELON,INUNDACION,10,161.5,27.7
2013,01,CUNDINAMARCA,CHOCONTA,INCENDIO FORESTAL,2709,17.6,12
2011,08,RISARALDA,PEREIRA,COLAPSO,1342,129,22
1998,08,CORDOBA,CHIMA,INUNDACION,1090,257.8,23.4
2013,01,HUILA,PITALITO,INCENDIO FORESTAL,1320,61.7,21
2008,12,CAUCA,PIENDAMO,DESLIZAMIENTO,1800,257.4,18.7
1998,06,ARAUCA,ARAUCA,INUNDACION,128,304.7,25.8
1999,02,NORTE DE SANTANDER,SAN CAYETANO,INUNDACION,2150,137.9,15.9
2005,05,META,VILLAVICENCIO,INUNDACION,423,673.8,25.2
2011,12,PUTUMAYO,MOCOA,INUNDACION,650,214.8,23.4
2013,01,CESAR,VALLEDUPAR,INCENDIO FORESTAL,70,18,29.4
2011,12,CHOCO,RIO QUITO,INUNDACION,45,501.8,25.9
1999,12,CALDAS,MANIZALES,DESLIZAMIENTO,2058,131.5,16.8
2010,12,CALDAS,MANIZALES,DESLIZAMIENTO,2058,131.5,16.8
2013,08,QUINDIO,ARMENIA,INCENDIO FORESTAL,1229,95.6,22.6
2008,05,CAUCA,BOLIVAR,DESLIZAMIENTO,2300,109,16.6
2006,04,CUNDINAMARCA,YACOPI,DESLIZAMIENTO,1347,342.9,21.1
2007,11,SUCRE,MAJAGUAL,INUNDACION,20,297.1,28.9
2003,04,ATLANTICO,BARRANQUILLA,INCENDIO ESTRUCTURAL,2,11.7,27.5
2011,04,QUINDIO,ARMENIA,INUNDACION,1229,262.6,22
2012,08,MAGDALENA,PIVIJAY,VENDAVAL,20,169.8,28.2
2009,07,CORDOBA,SAN BERNARDO DEL VIENTO,VENDAVAL,22,98.1,27.4
2008,08,CHOCO,SAN JOSE DEL PALMAR,DESLIZAMIENTO,1115,255.2,21.1
2012,12,NARINO,MOSQUERA,INCENDIO ESTRUCTURAL,2543,46.1,12.9
2012,02,CASANARE,YOPAL,INCENDIO FORESTAL,325,53.7,28.7
2013,07,CAUCA,SAN SEBASTIAN,AVALANCHA,2900,99.1,10
2012,08,HUILA,NEIVA,INCENDIO FORESTAL,1691,48.8,19
2013,06,NARINO,BARBACOAS,DESLIZAMIENTO,1010,330.9,20.5
1999,11,CALDAS,MANIZALES,DESLIZAMIENTO,2058,176.5,16.6
2012,09,QUINDIO,ARMENIA,INCENDIO FORESTAL,1229,182.9,22
2012,09,CAQUETA,SOLANO,VENDAVAL,219,203.8,25.6
2011,04,RISARALDA,SANTUARIO,DESLIZAMIENTO,1650,207.3,19.3
2006,04,CUNDINAMARCA,PUERTO SALGAR,INUNDACION,172,232.7,28.5
2006,05,META,VILLAVICENCIO,INUNDACION,423,673.8,25.2
2013,02,CASANARE,YOPAL,INCENDIO FORESTAL,325,53.7,28.7
2012,05,CORDOBA,MONTERIA,INUNDACION,30,174.6,27.4
2012,04,CORDOBA,LORICA,INUNDACION,30,93.9,28
2005,03,SANTANDER,PUERTO WILCHES,INCENDIO ESTRUCTURAL,138,177.4,29
2012,04,NORTE DE SANTANDER,CUCUTA,DESLIZAMIENTO,100,248.2,27.6
2013,01,HUILA,SUAZA,INCENDIO FORESTAL,1045,49.8,22.9
2010,01,RISARALDA,PEREIRA,VENDAVAL,1342,132.7,21.8
1998,10,CAQUETA,PUERTO RICO,INUNDACION,285,351.7,25.8
2012,11,NARINO,PASTO,INUNDACION,2830,111,12.2
2010,11,NORTE DE SANTANDER,TEORAMA,AVALANCHA,1160,135.6,21.4
2010,12,SANTANDER,VILLANUEVA,INUNDACION,255,62.8,26.6
2010,12,QUINDIO,ARMENIA,DESLIZAMIENTO,1229,175.2,21.9
2011,11,QUINDIO,CALARCA,DESLIZAMIENTO,1450,313.1,19.9
2012,09,ANTIOQUIA,REMEDIOS,VENDAVAL,718,361.4,24.9
2012,06,VICHADA,PUERTO CARRENO,INUNDACION,50,466.3,26.8
1999,09,ATLANTICO,BARRANQUILLA,INUNDACION,2,135.7,28.2
2008,11,CUNDINAMARCA,SAN FRANCISCO,INUNDACION,2475,218.3,13.5
2013,09,NARINO,PASTO,DESLIZAMIENTO,2830,82.9,11.1
2013,09,BOYACA,BUENAVISTA,VENDAVAL,2200,128.3,16.2
2006,01,BOGOTA DC,BOGOTA DC,INCENDIO ESTRUCTURAL,2570,33.3,13.8
2002,01,CUNDINAMARCA,SOACHA,INCENDIO FORESTAL,2900,23.1,11.7
2013,09,ARAUCA,ARAUCA,INCENDIO ESTRUCTURAL,128,187.1,26.6
1998,03,BOLIVAR,VILLANUEVA,SEQUIA,255,118.2,27.1
1999,04,TOLIMA,SAN ANTONIO,DESLIZAMIENTO,1500,254,21.4
2011,09,CORDOBA,CIENAGA DE ORO,VENDAVAL,40,192.6,27.6
2010,10,VALLE DEL CAUCA,SEVILLA,VENDAVAL,1692,335.5,18.5
2011,10,TOLIMA,ATACO,INUNDACION,500,334.9,26
2011,11,QUINDIO,CALARCA,VENDAVAL,1450,313.1,19.9
2009,11,HUILA,GARZON,VENDAVAL,1270,130,20.4
2012,08,HUILA,GARZON,INCENDIO FORESTAL,1270,66.6,19.9
2005,11,SANTANDER,CIMITARRA,INUNDACION,300,320,26.9
2011,03,AMAZONAS,LETICIA,DESLIZAMIENTO,84,357.9,26.1
2009,08,META,VILLAVICENCIO,INUNDACION,423,399.6,24.9
2012,04,BOYACA,PAIPA,INUNDACION,2470,131.5,15.3
2010,12,ANTIOQUIA,ARGELIA,INUNDACION,1600,91.8,20.4
2013,05,QUINDIO,ARMENIA,VARIOS,1229,219.6,22
1999,11,CALDAS,MANIZALES,INUNDACION,2058,176.5,16.6
2012,03,TOLIMA,COYAIMA,INUNDACION,485,149.4,28.1
2005,10,VALLE DEL CAUCA,BUENAVENTURA,DESLIZAMIENTO,5,790,25.3
2011,04,NORTE DE SANTANDER,TEORAMA,INUNDACION,1160,118.2,21.8
