Anio,Mes,Departamento,Municipio,Evento,Altitud,PrecipitacionPromedio,TemperaturaPromedio
2013,10,CASANARE,YOPAL,EXPLOSION,0-500,200-300,25-30
2009,05,SANTANDER,ZAPATOCA,INUNDACION,1500-2000,100-200,15-20
2011,09,TOLIMA,IBAGUE,VENDAVAL,500-1000,100-200,25-30
1999,04,NARINO,TAMINANGO,DESLIZAMIENTO,1500-2000,200-300,15-20
2012,08,SUCRE,SAN BENITO ABAD,VENDAVAL,0-500,200-300,25-30
2011,02,BOLIVAR,MAGANGUE,VENDAVAL,0-500,0-100,25-30
2013,08,PUTUMAYO,MOCOA,DESLIZAMIENTO,500-1000,300-400,20-25
2006,10,BOGOTA DC,BOGOTA DC,VENDAVAL,2500-3000,100-200,10-15
2011,09,LA GUAJIRA,FONSECA,INUNDACION,0-500,100-200,25-30
2006,05,BOYACA,VILLA DE LEYVA,INUNDACION,2000-2500,100-200,15-20
2005,01,VALLE DEL CAUCA,BUGALAGRANDE,INCENDIO ESTRUCTURAL,1000-1500,0-100,20-25
2012,02,ANTIOQUIA,BARBOSA,INCENDIO FORESTAL,1500-2000,0-100,20-25
2013,08,VALLE DEL CAUCA,CALI,INCENDIO FORESTAL,500-1000,0-100,25-30
2011,11,QUINDIO,ARMENIA,DESLIZAMIENTO,1000-1500,200-300,20-25
2013,07,SANTANDER,BUCARAMANGA,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
2009,01,TOLIMA,IBAGUE,VENDAVAL,500-1000,0-100,25-30
2008,05,CAUCA,PURACE,INUNDACION,2000-2500,100-200,15-20
2006,05,CHOCO,MEDIO SAN JUAN,VENDAVAL,0-500,500-600,25-30
2013,09,TOLIMA,PURIFICACION,INCENDIO FORESTAL,0-500,100-200,25-30
2005,06,ATLANTICO,SOLEDAD,VENDAVAL,0-500,0-100,25-30
2011,05,CAUCA,PATIA,INUNDACION,500-1000,100-200,25-30
2011,12,VALLE DEL CAUCA,EL CERRITO,INUNDACION,2500-3000,100-200,10-15
2012,02,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
2005,11,META,CUMARAL,INUNDACION,0-500,200-300,25-30
2002,05,ANTIOQUIA,TURBO,INUNDACION,0-500,200-300,25-30
2010,05,VALLE DEL CAUCA,CALI,INUNDACION,500-1000,100-200,25-30
2013,02,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
2008,08,CALDAS,MANIZALES,DESLIZAMIENTO,2000-2500,0-100,15-20
2009,11,HUILA,NEIVA,EXPLOSION,1500-2000,200-300,15-20
2007,08,ATLANTICO,SOLEDAD,VENDAVAL,0-500,100-200,25-30
2012,09,ATLANTICO,MANATI,VENDAVAL,0-500,100-200,25-30
2003,10,CHOCO,BAHIA SOLANO,VENDAVAL,0-500,700-800,25-30
2001,08,BOYACA,VILLA DE LEYVA,INCENDIO FORESTAL,2000-2500,0-100,15-20
2011,09,NORTE DE SANTANDER,CUCUTA,TORMENTA ELECTRICA,0-500,200-300,25-30
2009,06,CASANARE,VILLANUEVA,INUNDACION,0-500,300-400,20-25
2000,07,SANTANDER,PUERTO PARRA,VENDAVAL,0-500,200-300,25-30
2010,02,CUNDINAMARCA,COGUA,SEQUIA,3000-3500,0-100,10-15
2008,08,META,LEJANIAS,INUNDACION,500-1000,300-400,20-25
2013,05,ANTIOQUIA,VENECIA,INUNDACION,1500-2000,300-400,20-25
2012,09,CHOCO,QUIBDO,INCENDIO ESTRUCTURAL,0-500,700-800,25-30
2011,11,CAUCA,PATIA,INUNDACION,500-1000,200-300,25-30
2011,12,HUILA,GUADALUPE,INUNDACION,2000-2500,100-200,15-20
2006,01,CAUCA,CAJIBIO,INCENDIO ESTRUCTURAL,1500-2000,200-300,15-20
2009,08,ANTIOQUIA,ANDES,VENDAVAL,1000-1500,100-200,20-25
2013,03,VALLE DEL CAUCA,CALI,VENDAVAL,500-1000,0-100,25-30
2011,06,BOLIVAR,MAGANGUE,VENDAVAL,0-500,100-200,25-30
2008,12,BOYACA,TOCA,INUNDACION,2500-3000,0-100,10-15
2007,11,ANTIOQUIA,MEDELLIN,DESLIZAMIENTO,1000-1500,100-200,20-25
2007,06,CORDOBA,MONTERIA,INUNDACION,0-500,100-200,25-30
2013,03,VALLE DEL CAUCA,SEVILLA,INUNDACION,1500-2000,200-300,15-20
2001,04,CESAR,VALLEDUPAR,INCENDIO FORESTAL,0-500,100-200,25-30
2008,11,CUNDINAMARCA,SAN FRANCISCO,INUNDACION,2000-2500,200-300,10-15
2010,03,TOLIMA,PRADO,VENDAVAL,0-500,200-300,25-30
2006,02,NARINO,PASTO,DESLIZAMIENTO,2500-3000,0-100,10-15
2007,03,VALLE DEL CAUCA,BUENAVENTURA,VENDAVAL,0-500,300-400,25-30
2004,01,QUINDIO,ARMENIA,DESLIZAMIENTO,1000-1500,100-200,20-25
2010,10,VALLE DEL CAUCA,PALMIRA,INUNDACION,1000-1500,100-200,20-25
2009,07,META,FUENTE DE ORO,INUNDACION,0-500,200-300,20-25
2009,02,HUILA,NEIVA,VENDAVAL,1500-2000,100-200,15-20
2004,05,MAGDALENA,PIVIJAY,VENDAVAL,0-500,100-200,25-30
2011,04,META,VILLAVICENCIO,VENDAVAL,0-500,500-600,25-30
2011,10,MAGDALENA,SANTA MARTA,INUNDACION,0-500,200-300,25-30
2008,11,CUNDINAMARCA,MADRID,INUNDACION,2500-3000,0-100,10-15
2005,08,RISARALDA,PEREIRA,VENDAVAL-INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
2012,08,CESAR,PAILITAS,INUNDACION,0-500,100-200,25-30
2011,04,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,200-300,20-25
2011,07,BOYACA,TUNJA,DESLIZAMIENTO,2500-3000,0-100,10-15
2012,03,VALLE DEL CAUCA,PALMIRA,INUNDACION,1000-1500,100-200,20-25
2012,08,ANTIOQUIA,ANDES,DESLIZAMIENTO,1000-1500,100-200,20-25
2008,12,CAUCA,PURACE,INUNDACION,2000-2500,100-200,15-20
1999,01,CALDAS,MANIZALES,INUNDACION,2000-2500,100-200,15-20
