id,Anio,Mes,Departamento,Municipio,Deslizamiento,Altitud,PrecipitacionPromedio,TemperaturaPromedio
1605,2006,05,BOGOTA DC,BOGOTA DC,SI,2570,96.9,14.1
1606,2001,02,CESAR,MANAURE,NO,1,2.9,28
1607,2009,07,CUNDINAMARCA,YACOPI,NO,1347,162.8,21.6
1608,2009,07,LA GUAJIRA,DIBULLA,NO,5,59.6,27.8
1609,2012,01,BOGOTA DC,BOGOTA DC,SI,2570,33.3,13.8
1610,2010,12,ATLANTICO,MANATI,NO,10,32.9,27.5
1611,2005,11,CORDOBA,AYAPEL,NO,22,198.7,27.4
1612,2012,04,TOLIMA,IBAGUE,NO,750,200.7,24.7
1613,2009,04,SANTANDER,PUERTO WILCHES,NO,138,290.9,28.8
1614,2007,05,RISARALDA,PEREIRA,NO,1342,257.4,21.4
1615,2012,04,CUNDINAMARCA,SUTATAUSA,NO,2700,92.3,14
1616,2006,05,BOGOTA DC,BOGOTA DC,SI,2570,96.9,14.1
1617,2012,07,CAQUETA,SAN JOSE DEL FRAGUA,NO,320,358.3,24
1618,2008,11,TOLIMA,HONDA,NO,222,211.1,27
1619,2007,04,VALLE DEL CAUCA,ARGELIA,NO,1600,170.1,20.5
1620,2013,03,CAQUETA,FLORENCIA,NO,280,307.1,25.4
1621,2007,11,VALLE DEL CAUCA,CALI,NO,954,117.9,24.6
1622,2008,05,CAUCA,MERCADERES,NO,580,111.1,26.2
1623,2012,08,LA GUAJIRA,RIOHACHA,NO,4,50,29.5
1624,2013,05,SANTANDER,LANDAZURI,NO,1085,352.2,23
1625,2007,11,ATLANTICO,SOLEDAD,NO,14,95.6,27.5
1626,2004,11,CHOCO,QUIBDO,SI,53,683.1,26.2
1627,2013,05,CESAR,VALLEDUPAR,NO,70,167,29
1628,1999,10,CORDOBA,PLANETA RICA,NO,90,165.4,27.2
1629,2011,09,SUCRE,COLOSO,NO,200,136.1,26.6
1630,2011,12,CAQUETA,FLORENCIA,NO,280,136,25.7
1631,2012,01,RISARALDA,PEREIRA,NO,1342,132.7,21.8
1632,2010,05,HUILA,GIGANTE,NO,1500,140.6,20.1
1633,2009,06,CESAR,SAN DIEGO,NO,350,126.1,26.5
1634,2013,10,BOYACA,SOCOTA,NO,3590,196.8,6.2
1635,2013,09,TOLIMA,VILLAHERMOSA,NO,2029,232,17
1636,2011,10,SANTANDER,BUCARAMANGA,SI,1018,123.9,22.6
1637,2008,11,CHOCO,MEDIO SAN JUAN,NO,40,528.5,25.8
1638,2011,06,CAUCA,MERCADERES,NO,580,49,26.3
1639,2006,02,RISARALDA,PEREIRA,NO,1342,132.6,22
1640,2004,09,LA GUAJIRA,HATONUEVO,NO,80,148.9,28.7
1641,2013,01,BOYACA,SOGAMOSO,NO,2500,20.5,13.9
1642,2011,04,TOLIMA,IBAGUE,NO,750,200.7,24.7
1643,2002,05,SANTANDER,BARRANCABERMEJA,NO,126,373.7,27.7
1644,2006,04,BOGOTA DC,BOGOTA DC,SI,2570,83.7,14
1645,2012,02,CASANARE,AGUAZUL,NO,380,62.7,28.1
1646,2010,06,NORTE DE SANTANDER,ABREGO,NO,1430,96,21.3
1647,2010,06,BOGOTA DC,BOGOTA DC,NO,2570,58,14
1648,2013,07,PUTUMAYO,SIBUNDOY,NO,2067,204.3,14.7
1649,2011,06,CAUCA,PUERTO TEJADA,NO,1000,87.3,24
1650,2012,03,VALLE DEL CAUCA,BUENAVENTURA,NO,5,337.3,26.1
1651,2011,06,BOYACA,CHISCAS,NO,2350,110.5,16.6
1652,2012,10,ANTIOQUIA,CHIGORODO,NO,58,455.1,27.1
1653,2012,10,SANTANDER,BUCARAMANGA,NO,1018,123.9,22.6
1654,2012,07,ANTIOQUIA,VENECIA,NO,1600,188.1,20.8
1655,2011,10,BOLIVAR,EL GUAMO,NO,75,176.7,27.1
1656,2005,02,CORDOBA,SAHAGUN,NO,125,26.3,27.6
1657,2013,09,HUILA,NEIVA,NO,1691,92.2,19.1
1658,2006,04,RISARALDA,SANTUARIO,NO,1650,207.3,19.3
1659,2001,02,CESAR,BECERRIL,NO,170,46.3,28.9
1660,2008,11,LA GUAJIRA,DIBULLA,NO,5,256.7,26.3
1661,2004,08,CUNDINAMARCA,TENJO,NO,2560,47.5,13.6
1662,2013,02,CASANARE,VILLANUEVA,NO,255,51.4,27.6
1663,2010,12,BOYACA,CHISCAS,SI,2350,55.5,17
1664,2011,09,CASANARE,AGUAZUL,NO,380,315.5,26.2
1665,2009,12,CAUCA,ARGELIA,SI,1600,91.8,20.4
1666,2010,10,CUNDINAMARCA,GACHETA,SI,1752,113.9,19.3
1667,2003,10,ANTIOQUIA,CAUCASIA,NO,55,337.5,27.5
1668,2012,09,SANTANDER,BUCARAMANGA,NO,1018,117.8,23
1669,1998,02,CHOCO,CONDOTO,NO,66,574.6,26.1
1670,2011,06,BOYACA,SAMACA,NO,2600,39.2,13.8
1671,2012,09,VALLE DEL CAUCA,CALI,NO,954,69.9,25.5
1672,2010,07,LA GUAJIRA,VILLANUEVA,NO,255,331.6,24.2
1673,2011,05,SANTANDER,BARRANCABERMEJA,SI,126,373.7,27.7
1674,2008,12,TOLIMA,ATACO,NO,500,250.8,25.7
1675,2009,11,SUCRE,LA UNION,NO,2314,226.9,14.6
1676,2012,08,BOYACA,OTANCHE,NO,1070,203.1,22.9
1677,2010,12,VALLE DEL CAUCA,EL CERRITO,NO,2609,129.7,13.3
1678,2013,10,BOGOTA DC,BOGOTA DC,NO,2570,101,13.8
1679,2000,05,SANTANDER,BUCARAMANGA,NO,1018,139.7,23.2
1680,2007,05,RISARALDA,PEREIRA,SI,1342,257.4,21.4
1681,2013,02,BOYACA,PAIPA,NO,2470,47.7,15.1
1682,2012,07,PUTUMAYO,SAN FRANCISCO,NO,2475,52.8,13.7
1683,2009,04,BOYACA,VILLA DE LEYVA,NO,2215,123,17.3
1684,2013,01,ANTIOQUIA,BELLO,NO,1438,38.1,21.7
1685,2011,02,NARINO,CHACHAGUI,SI,1816,89.9,19
1686,2004,08,SANTANDER,LANDAZURI,NO,1085,250.1,23.1
1687,2013,08,TOLIMA,GUAMO,NO,360,47.8,29.3
1688,2011,05,TOLIMA,IBAGUE,SI,750,212.9,24.8
1689,2011,07,NARINO,PASTO,NO,2830,136.3,10.6
1690,1998,09,MAGDALENA,SANTA MARTA,NO,30,175,27
1691,2001,12,TOLIMA,MELGAR,NO,319,127.5,27.8
1692,2008,05,SANTANDER,RIONEGRO,NO,2090,247.6,17.1
1693,2012,07,HUILA,PALERMO,NO,460,31.9,26.9
1694,2011,07,MAGDALENA,CONCORDIA,NO,1904,196.4,18.9
1695,2006,11,CORDOBA,PUERTO ESCONDIDO,NO,15,151.9,27.4
1696,2012,08,SANTANDER,CHARALA,NO,1350,210.5,21.2
1697,2010,07,BOYACA,DUITAMA,NO,2700,75.3,12.2
1698,2001,05,VALLE DEL CAUCA,BUENAVENTURA,NO,5,642.6,26.1
1699,2011,10,VALLE DEL CAUCA,EL CERRITO,NO,2609,168,13.5
1700,2005,11,CALDAS,RIOSUCIO,SI,2,216.9,26.7
1701,2011,04,VALLE DEL CAUCA,CALI,SI,954,139.8,25
1702,2001,01,RISARALDA,PEREIRA,SI,1342,132.7,21.8
1703,2004,06,CAQUETA,SOLANO,NO,219,335.2,24.7
1704,2013,10,NORTE DE SANTANDER,SALAZAR,NO,1000,463.8,22.1
1705,1998,11,VALLE DEL CAUCA,FLORIDA,SI,1013,158.7,22.9
1706,2012,03,ANTIOQUIA,TURBO,NO,37,75.6,27.3
1707,2011,08,TOLIMA,CAJAMARCA,SI,2120,60.5,15.9
1708,2008,08,SANTANDER,EL CARMEN DE CHUCURI,NO,815,220,24.3
1709,2012,12,TOLIMA,LERIDA,NO,350,93.1,27.3
1710,2002,03,LA GUAJIRA,URIBIA,NO,85,10.5,26.3
1711,2013,01,SANTANDER,MOGOTES,NO,1667,67.1,18.8
1712,2009,10,MAGDALENA,SALAMINA,NO,2696,228.9,11.2
1713,2012,02,BOYACA,SOGAMOSO,NO,2500,28.5,14.2
1714,2010,08,NARINO,PASTO,NO,2830,104.2,10.5
1715,2004,11,ANTIOQUIA,MEDELLIN,SI,1490,158.9,21.8
1716,2013,02,CASANARE,YOPAL,NO,325,53.7,28.7
1717,2007,10,ANTIOQUIA,ANDES,SI,1180,212.4,21.6
1718,2008,05,TOLIMA,VALLE DE SAN JUAN,NO,650,205.9,25.9
1719,2011,05,NORTE DE SANTANDER,CUCUTA,NO,100,202.4,28.3
1720,2010,09,QUINDIO,ARMENIA,NO,1229,182.9,22
1721,2013,08,RISARALDA,PEREIRA,NO,1342,129,22
1722,2012,12,ATLANTICO,BARRANQUILLA,NO,2,35.1,27.3
1723,1999,02,SANTANDER,BARRANCABERMEJA,NO,126,124.8,28.7
1724,2010,09,ANTIOQUIA,BELLO,NO,1438,174.4,21.9
1725,2013,10,SANTANDER,BUCARAMANGA,NO,1018,123.9,22.6
1726,2012,05,META,VILLAVICENCIO,NO,423,673.8,25.2
1727,2011,04,CALDAS,MANIZALES,SI,2058,176.2,17.2
1728,2010,08,CUNDINAMARCA,CABRERA,NO,2050,57.3,16.4
1729,2012,02,ARAUCA,SARAVENA,NO,148,79.8,26.2
1730,2012,10,SANTANDER,GIRON,SI,777,119.6,25.1
1731,2010,11,BOGOTA DC,BOGOTA DC,SI,2570,95.3,13.8
1732,2012,10,TOLIMA,IBAGUE,NO,750,170.9,24.8
1733,2012,09,MAGDALENA,ZONA BANANERA,NO,20,183.3,27.5
1734,2006,09,CAQUETA,SAN JOSE DEL FRAGUA,NO,320,296.1,25.4
1735,2000,09,MAGDALENA,SANTA MARTA,NO,30,175,27
1736,2011,12,CALDAS,SAMANA,SI,1475,810.3,19.1
1737,2011,04,HUILA,SUAZA,NO,1045,130.1,22.6
1738,2005,03,CUNDINAMARCA,NEMOCON,NO,2580,69.8,14.4
1739,2013,10,BOLIVAR,PINILLOS,NO,10,326.1,28.4
1740,1999,05,MAGDALENA,EL BANCO,NO,34,234,28.5
1741,2013,04,META,VILLAVICENCIO,NO,423,520.2,25.7
1742,2011,07,PUTUMAYO,VILLAGARZON,NO,358,372.4,24
1743,2011,05,CUNDINAMARCA,CHOCONTA,NO,2709,119.9,12.6
1744,2011,09,BOYACA,OTANCHE,SI,1070,280,22.7
1745,2005,02,NORTE DE SANTANDER,EL ZULIA,NO,90,97,27
1746,2003,04,CAQUETA,EL DONCELLO,SI,270,417.2,25.4
1747,2011,10,HUILA,LA PLATA,SI,1070,155.4,22.5
1748,2003,11,BOLIVAR,MONTECRISTO,NO,100,483.3,27.7
1749,2012,08,NORTE DE SANTANDER,ABREGO,NO,1430,144.7,21.3
1750,2008,12,CAUCA,MERCADERES,NO,580,151.7,25.5
1751,2010,06,CAQUETA,FLORENCIA,NO,280,449.8,24.2
1752,2013,09,VALLE DEL CAUCA,TULUA,NO,2902,61.4,11.7
1753,2012,04,MAGDALENA,PIVIJAY,NO,20,79.7,28.7
1754,2010,11,NARINO,LA UNION,SI,2314,226.9,14.6
1755,2010,11,NORTE DE SANTANDER,EL ZULIA,SI,90,280.3,27
1756,2013,09,RISARALDA,PEREIRA,NO,1342,195.9,21.5
1757,2009,04,BOLIVAR,ARJONA,NO,10,89.9,28.2
1758,1998,11,TOLIMA,AMBALEMA,NO,450,136.2,27.8
1759,2011,04,CASANARE,AGUAZUL,SI,380,279,26.8
1760,2011,10,VALLE DEL CAUCA,LA UNION,NO,2314,307,14.7
1761,2013,09,CUNDINAMARCA,SAN FRANCISCO,NO,2475,76.5,13.8
1762,2011,04,META,VILLAVICENCIO,SI,423,520.2,25.7
1763,2011,04,NORTE DE SANTANDER,PAMPLONA,SI,2340,113.3,15.6
1764,2008,05,TOLIMA,RIOBLANCO,SI,1200,226.7,23
1765,2012,11,BOYACA,NOBSA,NO,2530,88,15.8
1766,2013,06,CASANARE,AGUAZUL,NO,380,414.3,25.6
1767,2010,11,BOYACA,SOGAMOSO,SI,2500,85.9,14.6
1768,2004,05,CASANARE,VILLANUEVA,NO,255,437.2,25
1769,2005,11,SANTANDER,BARRANCABERMEJA,NO,126,303.1,27.1
1770,2013,07,TOLIMA,IBAGUE,NO,750,62.5,25.7
1771,2010,07,BOGOTA DC,BOGOTA DC,SI,2570,54.1,13.8
1772,2012,10,LA GUAJIRA,VILLANUEVA,NO,255,289.1,25.8
1773,2007,11,SANTANDER,PUERTO WILCHES,NO,138,254.3,28.3
1774,2011,12,HUILA,BARAYA,SI,1275,69.6,22.7
1775,2012,02,CAQUETA,SAN VICENTE DEL CAGUAN,NO,300,124.1,27.3
1776,2004,11,TOLIMA,CAJAMARCA,NO,2120,91,15.9
1777,2008,09,HUILA,SUAZA,NO,1045,96.7,22.2
1778,1999,08,ANTIOQUIA,NECOCLI,NO,10,205.5,27
1779,2012,09,TOLIMA,ESPINAL,NO,475,126.9,27.9
1780,2009,05,BOGOTA DC,BOGOTA DC,NO,2570,96.9,14.1
1781,2013,05,LA GUAJIRA,FONSECA,NO,170,93.9,28.1
1782,2008,02,QUINDIO,CALARCA,SI,1450,137.8,20.9
1783,2013,07,TOLIMA,GUAMO,NO,360,52.5,28.3
1784,2012,04,NARINO,CONSACA,SI,1493,126.8,19.7
1785,1998,07,CUNDINAMARCA,PUERTO SALGAR,NO,172,82.9,29.4
1786,2010,05,VALLE DEL CAUCA,ARGELIA,NO,1600,167.7,20.5
1787,2003,10,CHOCO,CONDOTO,NO,66,650.5,25.9
1788,2011,06,NARINO,TANGUA,SI,2800,50.9,13.1
1789,2007,11,MAGDALENA,SANTA MARTA,NO,30,211.9,26.5
1790,1998,11,CAUCA,MERCADERES,SI,580,190.9,25.3
1791,2013,03,CUNDINAMARCA,GACHETA,NO,1752,73.6,19.6
1792,2009,03,CHOCO,QUIBDO,SI,53,554.5,26.9
1793,2010,09,PUTUMAYO,VILLAGARZON,NO,358,308.6,25
1794,2008,11,MAGDALENA,SAN SEBASTIAN DE BUENAVISTA,NO,25,148.1,27.4
1795,2009,04,CAUCA,BOLIVAR,NO,2300,164.3,16.4
1796,2007,10,VALLE DEL CAUCA,GUADALAJARA DE BUGA,NO,979,164.9,23.2
1797,2002,03,QUINDIO,ARMENIA,NO,1229,194.1,22.2
1798,2012,04,NORTE DE SANTANDER,PAMPLONA,NO,2340,113.3,15.6
1799,2004,05,NORTE DE SANTANDER,EL ZULIA,NO,90,183.1,28.2
1800,2012,02,CALDAS,MANIZALES,SI,2058,94,17.2
1801,2012,12,HUILA,NEIVA,SI,1691,168.7,18.5
1802,2013,02,CASANARE,YOPAL,NO,325,53.7,28.7
1803,2013,02,ARAUCA,ARAUCA,NO,128,23.8,28.3
1804,2011,04,NARINO,TUQUERRES,SI,3120,133.7,11.4
1805,2013,09,BOYACA,OTANCHE,NO,1070,280,22.7
1806,2010,01,VALLE DEL CAUCA,ARGELIA,NO,1600,79.8,20.6
1807,2010,11,VALLE DEL CAUCA,YUMBO,SI,1500,122.3,20
1808,2012,06,ANTIOQUIA,VENECIA,NO,1600,248.6,20.5
1809,2004,11,LA GUAJIRA,DIBULLA,NO,5,256.7,26.3
1810,2010,12,NARINO,LA UNION,NO,2314,189.7,14.6
1811,2013,04,BOGOTA DC,BOGOTA DC,NO,2570,83.7,14
1812,2000,04,NARINO,PASTO,NO,2830,142.1,12.1
1813,2010,11,TOLIMA,GUAMO,NO,360,155.6,27.1
1814,2011,08,ARAUCA,TAME,NO,350,247.1,25.5
1815,2012,07,PUTUMAYO,SAN FRANCISCO,SI,2475,52.8,13.7
1816,1998,07,CORDOBA,MONTELIBANO,NO,50,359.5,27.1
1817,2010,01,LA GUAJIRA,MANAURE,NO,1,3.7,28.1
1818,2012,03,NARINO,CONSACA,SI,1493,102.5,19.8
1819,2012,08,QUINDIO,ARMENIA,NO,1229,95.6,22.6
1820,2012,01,CAQUETA,SAN VICENTE DEL CAGUAN,NO,300,49.1,27.3
1821,2013,05,VALLE DEL CAUCA,BUGALAGRANDE,NO,1002,160.1,23.2
1822,2013,06,TOLIMA,IBAGUE,SI,750,92.4,25.1
1823,2008,03,ANTIOQUIA,MEDELLIN,SI,1490,129.1,22.7
1824,2011,02,CUNDINAMARCA,FUSAGASUGA,SI,1460,109.8,20.7
1825,2013,06,CHOCO,SAN JOSE DEL PALMAR,NO,1115,254.8,21.2
1826,2007,12,NARINO,PASTO,SI,2830,98.1,12.3
1827,2007,04,BOGOTA DC,BOGOTA DC,NO,2570,83.7,14
1828,2012,07,HUILA,PALERMO,NO,460,31.9,26.9
1829,2011,11,ANTIOQUIA,TAMESIS,NO,1151,246.9,22
1830,2011,09,CHOCO,MEDIO SAN JUAN,NO,40,600.5,25.9
1831,2010,11,NARINO,SAMANIEGO,SI,1500,169.7,19.5
1832,2008,11,CUNDINAMARCA,FUSAGASUGA,NO,1460,157.5,20.2
1833,1998,10,ATLANTICO,MANATI,NO,10,151.8,27.2
1834,2011,12,SANTANDER,SABANA DE TORRES,NO,328,118.6,27.2
1835,2009,04,NARINO,TUQUERRES,SI,3120,133.7,11.4
1836,2010,03,TOLIMA,IBAGUE,NO,750,115.1,25.1
1837,2012,09,TOLIMA,PRADO,NO,349,116.8,28.8
1838,2008,02,VALLE DEL CAUCA,PALMIRA,NO,1058,68.5,23.5
1839,2012,04,NORTE DE SANTANDER,CHINACOTA,SI,1235,161.3,20.8
1840,2006,03,CAUCA,CAJIBIO,NO,1850,248.2,18.5
1841,2012,09,CUNDINAMARCA,PACHO,NO,2000,98.8,16.9
1842,2004,11,SANTANDER,LEBRIJA,NO,1189,122.9,20.9
1843,2010,04,META,MESETAS,NO,620,357.5,24.5
1844,2006,11,ANTIOQUIA,BELLO,SI,1438,136.5,21.3
1845,2012,11,TOLIMA,IBAGUE,SI,750,125.7,24.4
1846,2012,08,NARINO,PASTO,NO,2830,104.2,10.5
1847,2013,04,BOYACA,MONIQUIRA,NO,1700,236,19.5
1848,2010,12,CORDOBA,LORICA,NO,30,38.7,27.3
1849,2009,07,QUINDIO,ARMENIA,NO,1229,105.2,22.4
1850,1999,03,HUILA,IQUIRA,SI,1095,203.3,23.1
1851,2011,06,SANTANDER,CHIMA,SI,1090,200.1,23.6
1852,2011,04,RISARALDA,SANTA ROSA DE CABAL,SI,1600,292.8,19.6
1853,1998,09,NORTE DE SANTANDER,ABREGO,NO,1430,210.1,21
1854,2012,03,SANTANDER,PALMAR,NO,940,124.2,26.5
1855,2012,03,LA GUAJIRA,MAICAO,NO,118,20.8,26.7
1856,2013,05,ANTIOQUIA,MEDELLIN,NO,1490,213.5,22.6
1857,2013,05,NORTE DE SANTANDER,TIBU,NO,62,275.8,28.5
1858,2009,04,META,VILLAVICENCIO,NO,423,520.2,25.7
1859,2011,10,HUILA,TELLO,NO,1300,200.2,22.1
1860,2011,11,CUNDINAMARCA,SUBACHOQUE,NO,2590,93.1,11.2
1861,2011,06,RISARALDA,PEREIRA,NO,1342,196.1,21.5
1862,2012,09,CUNDINAMARCA,PACHO,NO,2000,98.8,16.9
1863,2009,10,CUNDINAMARCA,SAN FRANCISCO,NO,2475,175.9,13.6
1864,2010,11,TOLIMA,CAJAMARCA,NO,2120,91,15.9
1865,1998,01,NORTE DE SANTANDER,PAMPLONA,NO,2340,31.8,13.9
1866,2011,07,ANTIOQUIA,CALDAS,SI,1680,175.8,18.6
1867,2011,08,CUNDINAMARCA,SOACHA,SI,2900,48.9,11.5
1868,2011,01,BOLIVAR,PINILLOS,NO,10,25,28.8
1869,2007,08,CORDOBA,MONTERIA,NO,30,173.8,27.4
1870,2008,05,TOLIMA,HONDA,NO,222,178.1,27.4
1871,2003,10,ANTIOQUIA,MEDELLIN,NO,1490,226.7,21.8
1872,2011,04,CESAR,SAN MARTIN,NO,250,341.3,25.6
1873,2005,05,VALLE DEL CAUCA,BOLIVAR,SI,2300,109,16.6
1874,2009,12,NARINO,TAMINANGO,NO,1875,180.2,17.1
1875,2011,09,CORDOBA,BUENAVISTA,NO,2200,128.3,16.2
1876,2013,10,LA GUAJIRA,RIOHACHA,NO,4,148.8,28
1877,2013,09,CUNDINAMARCA,TENJO,NO,2560,65.5,13.6
1878,2012,07,SANTANDER,BUCARAMANGA,NO,1018,111.7,23.1
1879,2011,07,BOYACA,SOCOTA,NO,3590,446,5.4
1880,2012,02,BOYACA,SOGAMOSO,NO,2500,28.5,14.2
1881,2004,08,ANTIOQUIA,VALDIVIA,NO,1200,405.1,22
1882,1999,09,ATLANTICO,BARRANQUILLA,SI,2,135.7,28.2
1883,2010,11,BOGOTA DC,BOGOTA DC,NO,2570,95.3,13.8
1884,2009,10,CALDAS,ANSERMA,NO,1932,221.7,16.7
1885,2011,11,PUTUMAYO,MOCOA,NO,650,236,23.4
1886,2008,05,HUILA,COLOMBIA,NO,1476,272,18.9
1887,2010,07,CUNDINAMARCA,CHOACHI,SI,3195,160.1,8
1888,2004,10,TOLIMA,IBAGUE,NO,750,170.9,24.8
1889,2009,10,LA GUAJIRA,MAICAO,NO,118,214.3,27
1890,2013,02,SANTANDER,BUCARAMANGA,NO,1018,91.3,23.3
1891,2012,09,CUNDINAMARCA,FUSAGASUGA,NO,1460,93.8,20.6
1892,2010,09,NORTE DE SANTANDER,SAN CAYETANO,NO,2150,96.5,16.3
1893,2000,02,BOYACA,OTANCHE,SI,1070,214.6,22.3
1894,2008,08,ATLANTICO,BARRANQUILLA,NO,2,86.9,28.3
1895,2012,11,SANTANDER,PUERTO PARRA,NO,168,276.6,27.9
1896,2003,03,SANTANDER,GIRON,NO,777,105.5,25.5
1897,2013,01,BOYACA,DUITAMA,NO,2700,119.7,11.9
1898,2013,05,CAQUETA,FLORENCIA,SI,280,478.7,24.8
1899,1999,11,ATLANTICO,BARRANQUILLA,NO,2,98.6,27.9
1900,2013,03,TOLIMA,ESPINAL,NO,475,137.1,27.6
1901,2011,06,CUNDINAMARCA,COGUA,NO,3100,79.3,10.3
1902,2013,09,TOLIMA,IBAGUE,SI,750,152.9,25.8
1903,2012,09,CUNDINAMARCA,FUNZA,NO,2545,56.4,14.2
1904,2010,11,CUNDINAMARCA,SOACHA,NO,2900,86.1,11.8
1905,2010,11,BOLIVAR,ZAMBRANO,NO,25,73,27.9
1906,2012,07,PUTUMAYO,VILLAGARZON,NO,358,372.4,24
1907,2013,07,QUINDIO,ARMENIA,NO,1229,105.2,22.4
1908,2013,02,SANTANDER,GIRON,NO,777,70.8,25.4
1909,2008,06,MAGDALENA,ZONA BANANERA,NO,20,147.1,28.1
1910,2013,01,QUINDIO,ARMENIA,NO,1229,136.1,22.2
1911,2005,08,CORDOBA,CERETE,NO,20,115.8,27.8
1912,2012,07,TOLIMA,IBAGUE,NO,750,62.5,25.7
1913,2013,01,HUILA,SUAZA,NO,1045,49.8,22.9
1914,2011,12,HUILA,NEIVA,SI,1691,168.7,18.5
1915,2008,05,TOLIMA,LERIDA,NO,350,212.3,27.3
1916,2012,09,CAUCA,TOTORO,NO,3000,72,10.4
1917,2012,05,NARINO,SAN PABLO,NO,165,347.2,28.1
1918,2012,07,NARINO,PASTO,NO,2830,136.3,10.6
1919,2010,11,VALLE DEL CAUCA,CALI,NO,954,117.9,24.6
1920,2011,09,TOLIMA,AMBALEMA,NO,450,160.9,29.4
1921,2011,11,BOYACA,TUNJA,NO,2690,73.9,13.4
1922,1999,10,CESAR,VALLEDUPAR,NO,70,193.1,27.7
1923,2012,04,BOYACA,SAMACA,SI,2600,83.5,14.5
1924,2010,10,NORTE DE SANTANDER,PAMPLONA,NO,2340,141.7,15.4
1925,2009,06,CALDAS,RIOSUCIO,NO,2,256.2,27.3
1926,2012,06,CUNDINAMARCA,CABRERA,NO,2050,65.7,16.5
1927,2010,12,VALLE DEL CAUCA,BUENAVENTURA,NO,5,675.8,25.3
1928,1999,05,ANTIOQUIA,BELLO,NO,1438,197.4,22.1
1929,1999,11,CESAR,AGUSTIN CODAZZI,NO,180,171.9,27.7
1930,2012,02,ANTIOQUIA,BARBOSA,NO,1500,80.1,22.2
1931,2002,01,TOLIMA,IBAGUE,NO,750,63,25.3
1932,2008,11,NORTE DE SANTANDER,ABREGO,NO,1430,76.9,20.7
1933,2010,11,NORTE DE SANTANDER,SARDINATA,NO,320,234,25.9
1934,2009,02,VALLE DEL CAUCA,EL CERRITO,NO,2609,80.2,13.5
1935,2007,06,PUTUMAYO,MOCOA,SI,650,473.5,22
1936,2011,10,ANTIOQUIA,MEDELLIN,SI,1490,226.7,21.8
1937,2010,11,VALLE DEL CAUCA,BUENAVENTURA,NO,5,728.5,25.2
1938,1999,12,CHOCO,BAHIA SOLANO,NO,4,472.7,25.7
1939,2011,04,HUILA,IQUIRA,SI,1095,213.7,23.1
1940,2004,03,CAUCA,MERCADERES,SI,580,143.6,26.2
1941,2010,05,CAQUETA,PUERTO RICO,NO,285,540,25.3
1942,2013,02,CASANARE,AGUAZUL,NO,380,62.7,28.1
1943,1999,11,SANTANDER,BARRANCABERMEJA,NO,126,303.1,27.1
