id,Anio,Mes,Departamento,Municipio,Evento,Altitud,PrecipitacionPromedio,TemperaturaPromedio
1515,2006,02,BOLIVAR,MAGANGUE,INUNDACION,0-500,0-100,25-30
1516,2012,03,SANTANDER,BARRANCABERMEJA,VENDAVAL,0-500,100-200,25-30
1517,1998,06,BOYACA,CUBARA,INUNDACION,0-500,600-700,20-25
1518,2008,08,ANTIOQUIA,CALDAS,DESLIZAMIENTO,1500-2000,100-200,15-20
1519,2013,08,HUILA,CAMPOALEGRE,INCENDIO FORESTAL,500-1000,0-100,25-30
1520,2006,10,META,VILLAVICENCIO,INUNDACION,0-500,400-500,25-30
1521,2009,10,META,VILLAVICENCIO,INCENDIO ESTRUCTURAL,0-500,400-500,25-30
1522,2008,10,LA GUAJIRA,VILLANUEVA,INUNDACION,0-500,200-300,25-30
1523,2011,04,CUNDINAMARCA,CHOCONTA,INUNDACION,2500-3000,0-100,10-15
1524,2013,08,VALLE DEL CAUCA,CALI,INCENDIO FORESTAL,500-1000,0-100,25-30
1525,2007,05,TOLIMA,PRADO,INUNDACION,0-500,100-200,25-30
1526,1998,08,CASANARE,YOPAL,INUNDACION,0-500,200-300,25-30
1527,2012,12,TOLIMA,PRADO,AVALANCHA,0-500,200-300,25-30
1528,2012,10,RISARALDA,PEREIRA,DESLIZAMIENTO,1000-1500,200-300,20-25
1529,2009,12,VALLE DEL CAUCA,CALI,INCENDIO ESTRUCTURAL,500-1000,0-100,20-25
1530,2008,03,CAUCA,LA SIERRA,DESLIZAMIENTO,1500-2000,200-300,15-20
1531,2012,09,SANTANDER,BUCARAMANGA,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
1532,2010,12,META,FUENTE DE ORO,INUNDACION,0-500,0-100,25-30
1533,2013,04,TOLIMA,SAN ANTONIO,INUNDACION,1500-2000,200-300,20-25
1534,2011,06,NARINO,BARBACOAS,INUNDACION,1000-1500,300-400,20-25
1535,2003,12,MAGDALENA,SANTA MARTA,INUNDACION,0-500,100-200,25-30
1536,2013,03,QUINDIO,ARMENIA,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
1537,2003,07,VICHADA,PUERTO CARRENO,INUNDACION,0-500,400-500,25-30
1538,2001,12,ANTIOQUIA,BELLO,INCENDIO ESTRUCTURAL,1000-1500,0-100,20-25
1539,2009,10,HUILA,LA PLATA,INUNDACION,1000-1500,100-200,20-25
1540,2012,08,TOLIMA,ESPINAL,INCENDIO FORESTAL,0-500,0-100,25-30
1541,2011,12,HUILA,GIGANTE,DESLIZAMIENTO,1500-2000,0-100,20-25
