id,Anio,Mes,Departamento,Municipio,Evento,Altitud,PrecipitacionPromedio,TemperaturaPromedio
0,2013,10,CASANARE,YOPAL,EXPLOSION,0-500,200-300,25-30
1,2009,05,SANTANDER,ZAPATOCA,INUNDACION,1500-2000,100-200,15-20
2,2011,09,TOLIMA,IBAGUE,VENDAVAL,500-1000,100-200,25-30
3,1999,04,NARINO,TAMINANGO,DESLIZAMIENTO,1500-2000,200-300,15-20
4,2012,08,SUCRE,SAN BENITO ABAD,VENDAVAL,0-500,200-300,25-30
5,2011,02,BOLIVAR,MAGANGUE,VENDAVAL,0-500,0-100,25-30
6,2013,08,PUTUMAYO,MOCOA,DESLIZAMIENTO,500-1000,300-400,20-25
7,2006,10,BOGOTA DC,BOGOTA DC,VENDAVAL,2500-3000,100-200,10-15
8,2011,09,LA GUAJIRA,FONSECA,INUNDACION,0-500,100-200,25-30
9,2006,05,BOYACA,VILLA DE LEYVA,INUNDACION,2000-2500,100-200,15-20
10,2005,01,VALLE DEL CAUCA,BUGALAGRANDE,INCENDIO ESTRUCTURAL,1000-1500,0-100,20-25
11,2012,02,ANTIOQUIA,BARBOSA,INCENDIO FORESTAL,1500-2000,0-100,20-25
12,2013,08,VALLE DEL CAUCA,CALI,INCENDIO FORESTAL,500-1000,0-100,25-30
13,2011,11,QUINDIO,ARMENIA,DESLIZAMIENTO,1000-1500,200-300,20-25
14,2013,07,SANTANDER,BUCARAMANGA,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
15,2009,01,TOLIMA,IBAGUE,VENDAVAL,500-1000,0-100,25-30
16,2008,05,CAUCA,PURACE,INUNDACION,2000-2500,100-200,15-20
17,2006,05,CHOCO,MEDIO SAN JUAN,VENDAVAL,0-500,500-600,25-30
18,2013,09,TOLIMA,PURIFICACION,INCENDIO FORESTAL,0-500,100-200,25-30
19,2005,06,ATLANTICO,SOLEDAD,VENDAVAL,0-500,0-100,25-30
20,2011,05,CAUCA,PATIA,INUNDACION,500-1000,100-200,25-30
21,2011,12,VALLE DEL CAUCA,EL CERRITO,INUNDACION,2500-3000,100-200,10-15
22,2012,02,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
23,2005,11,META,CUMARAL,INUNDACION,0-500,200-300,25-30
24,2002,05,ANTIOQUIA,TURBO,INUNDACION,0-500,200-300,25-30
25,2010,05,VALLE DEL CAUCA,CALI,INUNDACION,500-1000,100-200,25-30
26,2013,02,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
27,2008,08,CALDAS,MANIZALES,DESLIZAMIENTO,2000-2500,0-100,15-20
28,2009,11,HUILA,NEIVA,EXPLOSION,1500-2000,200-300,15-20
29,2007,08,ATLANTICO,SOLEDAD,VENDAVAL,0-500,100-200,25-30
30,2012,09,ATLANTICO,MANATI,VENDAVAL,0-500,100-200,25-30
31,2003,10,CHOCO,BAHIA SOLANO,VENDAVAL,0-500,700-800,25-30
32,2001,08,BOYACA,VILLA DE LEYVA,INCENDIO FORESTAL,2000-2500,0-100,15-20
33,2011,09,NORTE DE SANTANDER,CUCUTA,TORMENTA ELECTRICA,0-500,200-300,25-30
34,2009,06,CASANARE,VILLANUEVA,INUNDACION,0-500,300-400,20-25
35,2000,07,SANTANDER,PUERTO PARRA,VENDAVAL,0-500,200-300,25-30
36,2010,02,CUNDINAMARCA,COGUA,SEQUIA,3000-3500,0-100,10-15
37,2008,08,META,LEJANIAS,INUNDACION,500-1000,300-400,20-25
38,2013,05,ANTIOQUIA,VENECIA,INUNDACION,1500-2000,300-400,20-25
39,2012,09,CHOCO,QUIBDO,INCENDIO ESTRUCTURAL,0-500,700-800,25-30
40,2011,11,CAUCA,PATIA,INUNDACION,500-1000,200-300,25-30
41,2011,12,HUILA,GUADALUPE,INUNDACION,2000-2500,100-200,15-20
42,2006,01,CAUCA,CAJIBIO,INCENDIO ESTRUCTURAL,1500-2000,200-300,15-20
43,2009,08,ANTIOQUIA,ANDES,VENDAVAL,1000-1500,100-200,20-25
44,2013,03,VALLE DEL CAUCA,CALI,VENDAVAL,500-1000,0-100,25-30
45,2011,06,BOLIVAR,MAGANGUE,VENDAVAL,0-500,100-200,25-30
46,2008,12,BOYACA,TOCA,INUNDACION,2500-3000,0-100,10-15
47,2007,11,ANTIOQUIA,MEDELLIN,DESLIZAMIENTO,1000-1500,100-200,20-25
48,2007,06,CORDOBA,MONTERIA,INUNDACION,0-500,100-200,25-30
49,2013,03,VALLE DEL CAUCA,SEVILLA,INUNDACION,1500-2000,200-300,15-20
50,2001,04,CESAR,VALLEDUPAR,INCENDIO FORESTAL,0-500,100-200,25-30
51,2008,11,CUNDINAMARCA,SAN FRANCISCO,INUNDACION,2000-2500,200-300,10-15
52,2010,03,TOLIMA,PRADO,VENDAVAL,0-500,200-300,25-30
53,2006,02,NARINO,PASTO,DESLIZAMIENTO,2500-3000,0-100,10-15
54,2007,03,VALLE DEL CAUCA,BUENAVENTURA,VENDAVAL,0-500,300-400,25-30
55,2004,01,QUINDIO,ARMENIA,DESLIZAMIENTO,1000-1500,100-200,20-25
56,2010,10,VALLE DEL CAUCA,PALMIRA,INUNDACION,1000-1500,100-200,20-25
57,2009,07,META,FUENTE DE ORO,INUNDACION,0-500,200-300,20-25
58,2009,02,HUILA,NEIVA,VENDAVAL,1500-2000,100-200,15-20
59,2004,05,MAGDALENA,PIVIJAY,VENDAVAL,0-500,100-200,25-30
60,2011,04,META,VILLAVICENCIO,VENDAVAL,0-500,500-600,25-30
61,2011,10,MAGDALENA,SANTA MARTA,INUNDACION,0-500,200-300,25-30
62,2008,11,CUNDINAMARCA,MADRID,INUNDACION,2500-3000,0-100,10-15
63,2005,08,RISARALDA,PEREIRA,VENDAVAL-INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
64,2012,08,CESAR,PAILITAS,INUNDACION,0-500,100-200,25-30
65,2011,04,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,200-300,20-25
66,2011,07,BOYACA,TUNJA,DESLIZAMIENTO,2500-3000,0-100,10-15
67,2012,03,VALLE DEL CAUCA,PALMIRA,INUNDACION,1000-1500,100-200,20-25
68,2012,08,ANTIOQUIA,ANDES,DESLIZAMIENTO,1000-1500,100-200,20-25
69,2008,12,CAUCA,PURACE,INUNDACION,2000-2500,100-200,15-20
70,1999,01,CALDAS,MANIZALES,INUNDACION,2000-2500,100-200,15-20
71,2012,09,QUINDIO,CALARCA,INCENDIO FORESTAL,1000-1500,100-200,20-25
72,2001,08,VALLE DEL CAUCA,CALI,INCENDIO FORESTAL,500-1000,0-100,25-30
73,2012,09,CAQUETA,FLORENCIA,DESLIZAMIENTO,0-500,200-300,20-25
74,2006,11,META,VILLAVICENCIO,INUNDACION,0-500,400-500,25-30
75,2013,05,CUNDINAMARCA,NEMOCON,INUNDACION,2500-3000,0-100,10-15
76,2010,11,META,RESTREPO,VENDAVAL,1000-1500,100-200,15-20
77,2011,12,CUNDINAMARCA,ANAPOIMA,INUNDACION,500-1000,0-100,20-25
78,2012,07,HUILA,CAMPOALEGRE,INCENDIO FORESTAL,500-1000,0-100,25-30
79,2006,05,ANTIOQUIA,NECOCLI,INUNDACION,0-500,200-300,25-30
80,2010,02,NORTE DE SANTANDER,OCANA,SEQUIA,1000-1500,0-100,20-25
81,2012,09,TOLIMA,DOLORES,INCENDIO FORESTAL,1000-1500,0-100,20-25
82,2011,07,CALDAS,MANIZALES,INUNDACION,2000-2500,0-100,15-20
83,2013,10,TOLIMA,CHAPARRAL,INCENDIO FORESTAL,1000-1500,300-400,20-25
84,2007,11,CAUCA,LA SIERRA,DESLIZAMIENTO,1500-2000,300-400,15-20
85,2002,07,RISARALDA/CALDAS,SANTA ROSA DE CABAL,INCENDIO FORESTAL,1500-2000,100-200,20-25
86,2007,10,ATLANTICO,REPELON,INUNDACION,0-500,100-200,25-30
87,2013,01,CUNDINAMARCA,CHOCONTA,INCENDIO FORESTAL,2500-3000,0-100,10-15
88,2011,08,RISARALDA,PEREIRA,COLAPSO,1000-1500,100-200,20-25
89,1998,08,CORDOBA,CHIMA,INUNDACION,1000-1500,200-300,20-25
90,2013,01,HUILA,PITALITO,INCENDIO FORESTAL,1000-1500,0-100,20-25
91,2008,12,CAUCA,PIENDAMO,DESLIZAMIENTO,1500-2000,200-300,15-20
92,1998,06,ARAUCA,ARAUCA,INUNDACION,0-500,300-400,25-30
93,1999,02,NORTE DE SANTANDER,SAN CAYETANO,INUNDACION,2000-2500,100-200,15-20
94,2005,05,META,VILLAVICENCIO,INUNDACION,0-500,600-700,25-30
95,2011,12,PUTUMAYO,MOCOA,INUNDACION,500-1000,200-300,20-25
96,2013,01,CESAR,VALLEDUPAR,INCENDIO FORESTAL,0-500,0-100,25-30
97,2011,12,CHOCO,RIO QUITO,INUNDACION,0-500,500-600,25-30
98,1999,12,CALDAS,MANIZALES,DESLIZAMIENTO,2000-2500,100-200,15-20
99,2010,12,CALDAS,MANIZALES,DESLIZAMIENTO,2000-2500,100-200,15-20
100,2013,08,QUINDIO,ARMENIA,INCENDIO FORESTAL,1000-1500,0-100,20-25
101,2008,05,CAUCA,BOLIVAR,DESLIZAMIENTO,2000-2500,100-200,15-20
102,2006,04,CUNDINAMARCA,YACOPI,DESLIZAMIENTO,1000-1500,300-400,20-25
103,2007,11,SUCRE,MAJAGUAL,INUNDACION,0-500,200-300,25-30
104,2003,04,ATLANTICO,BARRANQUILLA,INCENDIO ESTRUCTURAL,0-500,0-100,25-30
105,2011,04,QUINDIO,ARMENIA,INUNDACION,1000-1500,200-300,20-25
106,2012,08,MAGDALENA,PIVIJAY,VENDAVAL,0-500,100-200,25-30
107,2009,07,CORDOBA,SAN BERNARDO DEL VIENTO,VENDAVAL,0-500,0-100,25-30
108,2008,08,CHOCO,SAN JOSE DEL PALMAR,DESLIZAMIENTO,1000-1500,200-300,20-25
109,2012,12,NARINO,MOSQUERA,INCENDIO ESTRUCTURAL,2500-3000,0-100,10-15
110,2012,02,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
111,2013,07,CAUCA,SAN SEBASTIAN,AVALANCHA,2500-3000,0-100,10-15
112,2012,08,HUILA,NEIVA,INCENDIO FORESTAL,1500-2000,0-100,15-20
113,2013,06,NARINO,BARBACOAS,DESLIZAMIENTO,1000-1500,300-400,20-25
114,1999,11,CALDAS,MANIZALES,DESLIZAMIENTO,2000-2500,100-200,15-20
115,2012,09,QUINDIO,ARMENIA,INCENDIO FORESTAL,1000-1500,100-200,20-25
116,2012,09,CAQUETA,SOLANO,VENDAVAL,0-500,200-300,25-30
117,2011,04,RISARALDA,SANTUARIO,DESLIZAMIENTO,1500-2000,200-300,15-20
118,2006,04,CUNDINAMARCA,PUERTO SALGAR,INUNDACION,0-500,200-300,25-30
119,2006,05,META,VILLAVICENCIO,INUNDACION,0-500,600-700,25-30
120,2013,02,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
121,2012,05,CORDOBA,MONTERIA,INUNDACION,0-500,100-200,25-30
122,2012,04,CORDOBA,LORICA,INUNDACION,0-500,0-100,25-30
123,2005,03,SANTANDER,PUERTO WILCHES,INCENDIO ESTRUCTURAL,0-500,100-200,25-30
124,2012,04,NORTE DE SANTANDER,CUCUTA,DESLIZAMIENTO,0-500,200-300,25-30
125,2013,01,HUILA,SUAZA,INCENDIO FORESTAL,1000-1500,0-100,20-25
126,2010,01,RISARALDA,PEREIRA,VENDAVAL,1000-1500,100-200,20-25
127,1998,10,CAQUETA,PUERTO RICO,INUNDACION,0-500,300-400,25-30
128,2012,11,NARINO,PASTO,INUNDACION,2500-3000,100-200,10-15
129,2010,11,NORTE DE SANTANDER,TEORAMA,AVALANCHA,1000-1500,100-200,20-25
130,2010,12,SANTANDER,VILLANUEVA,INUNDACION,0-500,0-100,25-30
131,2010,12,QUINDIO,ARMENIA,DESLIZAMIENTO,1000-1500,100-200,20-25
132,2011,11,QUINDIO,CALARCA,DESLIZAMIENTO,1000-1500,300-400,15-20
133,2012,09,ANTIOQUIA,REMEDIOS,VENDAVAL,500-1000,300-400,20-25
134,2012,06,VICHADA,PUERTO CARRENO,INUNDACION,0-500,400-500,25-30
135,1999,09,ATLANTICO,BARRANQUILLA,INUNDACION,0-500,100-200,25-30
136,2008,11,CUNDINAMARCA,SAN FRANCISCO,INUNDACION,2000-2500,200-300,10-15
137,2013,09,NARINO,PASTO,DESLIZAMIENTO,2500-3000,0-100,10-15
138,2013,09,BOYACA,BUENAVISTA,VENDAVAL,2000-2500,100-200,15-20
139,2006,01,BOGOTA DC,BOGOTA DC,INCENDIO ESTRUCTURAL,2500-3000,0-100,10-15
140,2002,01,CUNDINAMARCA,SOACHA,INCENDIO FORESTAL,2500-3000,0-100,10-15
141,2013,09,ARAUCA,ARAUCA,INCENDIO ESTRUCTURAL,0-500,100-200,25-30
142,1998,03,BOLIVAR,VILLANUEVA,SEQUIA,0-500,100-200,25-30
143,1999,04,TOLIMA,SAN ANTONIO,DESLIZAMIENTO,1500-2000,200-300,20-25
144,2011,09,CORDOBA,CIENAGA DE ORO,VENDAVAL,0-500,100-200,25-30
145,2010,10,VALLE DEL CAUCA,SEVILLA,VENDAVAL,1500-2000,300-400,15-20
146,2011,10,TOLIMA,ATACO,INUNDACION,500-1000,300-400,25-30
147,2011,11,QUINDIO,CALARCA,VENDAVAL,1000-1500,300-400,15-20
148,2009,11,HUILA,GARZON,VENDAVAL,1000-1500,100-200,20-25
149,2012,08,HUILA,GARZON,INCENDIO FORESTAL,1000-1500,0-100,15-20
150,2005,11,SANTANDER,CIMITARRA,INUNDACION,0-500,300-400,25-30
151,2011,03,AMAZONAS,LETICIA,DESLIZAMIENTO,0-500,300-400,25-30
152,2009,08,META,VILLAVICENCIO,INUNDACION,0-500,300-400,20-25
153,2012,04,BOYACA,PAIPA,INUNDACION,2000-2500,100-200,15-20
154,2010,12,ANTIOQUIA,ARGELIA,INUNDACION,1500-2000,0-100,20-25
155,2013,05,QUINDIO,ARMENIA,VARIOS,1000-1500,200-300,20-25
156,1999,11,CALDAS,MANIZALES,INUNDACION,2000-2500,100-200,15-20
157,2012,03,TOLIMA,COYAIMA,INUNDACION,0-500,100-200,25-30
158,2005,10,VALLE DEL CAUCA,BUENAVENTURA,DESLIZAMIENTO,0-500,700-800,25-30
159,2011,04,NORTE DE SANTANDER,TEORAMA,INUNDACION,1000-1500,100-200,20-25
160,2009,05,NORTE DE SANTANDER,EL ZULIA,INUNDACION,0-500,100-200,25-30
161,2012,09,CAUCA,ARGELIA,SISMO,1500-2000,100-200,20-25
162,2012,09,QUINDIO,ARMENIA,INCENDIO FORESTAL,1000-1500,100-200,20-25
163,2013,01,CUNDINAMARCA,SOACHA,INCENDIO FORESTAL,2500-3000,0-100,10-15
164,2006,05,BOYACA,PUERTO BOYACA,INUNDACION,0-500,200-300,25-30
165,2013,07,BOYACA,PAIPA,ACCIDENTE MINERO,2000-2500,0-100,10-15
166,2012,02,NARINO,LA UNION,DESLIZAMIENTO,2000-2500,200-300,10-15
167,2011,02,CUNDINAMARCA,SUTATAUSA,EXPLOSION,2500-3000,0-100,10-15
168,2012,02,ANTIOQUIA,BELLO,INCENDIO ESTRUCTURAL,1000-1500,0-100,20-25
169,2006,05,VALLE DEL CAUCA,FLORIDA,INUNDACION,1000-1500,100-200,20-25
170,2010,11,CESAR,SAN MARTIN,INUNDACION,0-500,200-300,25-30
171,2013,02,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
172,2001,12,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,0-100,20-25
173,2001,09,RISARALDA,PEREIRA,INCENDIO FORESTAL,1000-1500,100-200,20-25
174,2011,11,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,100-200,20-25
175,2013,05,CUNDINAMARCA,PARATEBUENO,INUNDACION,0-500,500-600,25-30
176,2012,07,HUILA,NEIVA,INCENDIO FORESTAL,1500-2000,0-100,15-20
177,2013,06,CHOCO,MEDIO SAN JUAN,INCENDIO ESTRUCTURAL,0-500,500-600,25-30
178,2002,03,CHOCO,QUIBDO,INUNDACION,0-500,500-600,25-30
179,2010,11,CESAR,BECERRIL,INUNDACION,0-500,100-200,25-30
180,2009,06,BOLIVAR,MAGANGUE,VENDAVAL,0-500,100-200,25-30
181,2002,10,LA GUAJIRA,FONSECA,INUNDACION,0-500,100-200,25-30
182,2011,11,BOGOTA DC,BOGOTA DC,INCENDIO ESTRUCTURAL,2500-3000,0-100,10-15
183,2002,01,META,LA MACARENA,INCENDIO FORESTAL,0-500,0-100,25-30
184,2012,04,BOGOTA DC,BOGOTA DC,INUNDACION,2500-3000,0-100,10-15
185,2005,12,CHOCO,QUIBDO,DESLIZAMIENTO,0-500,600-700,25-30
186,2005,05,CALDAS,RIOSUCIO,DESLIZAMIENTO,0-500,200-300,25-30
187,2011,06,VALLE DEL CAUCA,CALI,COLAPSO,500-1000,0-100,25-30
188,2012,11,QUINDIO,ARMENIA,VENDAVAL,1000-1500,200-300,20-25
189,2008,11,ANTIOQUIA,MEDELLIN,DESLIZAMIENTO,1000-1500,100-200,20-25
190,2008,12,CAUCA,PUERTO TEJADA,INUNDACION,1000-1500,100-200,20-25
191,2007,06,TOLIMA,CHAPARRAL,INUNDACION,1000-1500,100-200,20-25
192,2012,01,META,VISTAHERMOSA,INUNDACION,0-500,0-100,25-30
193,2005,02,SANTANDER,ZAPATOCA,INUNDACION,1500-2000,0-100,15-20
194,2013,02,SUCRE,SAN BENITO ABAD,VENDAVAL,0-500,0-100,25-30
195,2012,09,RISARALDA,SANTUARIO,SEQUIA,1500-2000,100-200,15-20
196,2013,06,TOLIMA,IBAGUE,INUNDACION,500-1000,0-100,25-30
197,2011,05,ANTIOQUIA,MUTATA,INUNDACION,0-500,600-700,25-30
198,2013,07,SANTANDER,BUCARAMANGA,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
199,2008,12,HUILA,SANTA MARIA,INUNDACION,1000-1500,100-200,20-25
200,2012,08,CUNDINAMARCA,VENECIA,INCENDIO FORESTAL,1500-2000,200-300,20-25
201,2008,11,NARINO,CONSACA,INUNDACION,1000-1500,100-200,15-20
202,2008,07,CORDOBA,SAHAGUN,INUNDACION,0-500,100-200,25-30
203,2008,11,BOLIVAR,ARJONA,INUNDACION,0-500,100-200,25-30
204,2012,09,QUINDIO,ARMENIA,INCENDIO FORESTAL,1000-1500,100-200,20-25
205,2012,03,VALLE DEL CAUCA,BUENAVENTURA,INUNDACION,0-500,300-400,25-30
206,2002,01,CHOCO,LLORO,INUNDACION,0-500,500-600,25-30
207,2013,01,SANTANDER,SABANA DE TORRES,INCENDIO FORESTAL,0-500,0-100,25-30
208,2007,07,TOLIMA,PURIFICACION,INUNDACION,0-500,0-100,25-30
209,2013,07,TOLIMA,GUAMO,INCENDIO FORESTAL,0-500,0-100,25-30
210,2009,11,VALLE DEL CAUCA,BUENAVENTURA,AVALANCHA,0-500,700-800,25-30
211,2010,07,TOLIMA,IBAGUE,INUNDACION,500-1000,0-100,25-30
212,2001,08,ANTIOQUIA,MEDELLIN,INCENDIO FORESTAL,1000-1500,100-200,20-25
213,2008,08,CUNDINAMARCA,PUERTO SALGAR,VENDAVAL,0-500,0-100,25-30
214,2013,03,PUTUMAYO,PUERTO LEGUIZAMO,INCENDIO ESTRUCTURAL,0-500,200-300,25-30
215,2011,10,CUNDINAMARCA,CABRERA,INUNDACION,2000-2500,100-200,15-20
216,2012,03,ATLANTICO,BARRANQUILLA,COLAPSO,0-500,0-100,25-30
217,2012,01,CASANARE,YOPAL,INCENDIO FORESTAL,0-500,0-100,25-30
218,2005,09,TOLIMA,HONDA,INUNDACION,0-500,100-200,25-30
219,2003,09,ATLANTICO,BARRANQUILLA,VENDAVAL,0-500,100-200,25-30
220,2010,04,ANTIOQUIA,MEDELLIN,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
221,2009,02,VALLE DEL CAUCA,CALI,INCENDIO ESTRUCTURAL,500-1000,0-100,25-30
222,2013,09,LA GUAJIRA,URIBIA,INUNDACION,0-500,0-100,25-30
223,2012,08,HUILA,NEIVA,INCENDIO FORESTAL,1500-2000,0-100,15-20
224,2011,02,CUNDINAMARCA,PANDI,VENDAVAL,500-1000,0-100,20-25
225,2011,09,CHOCO,MEDIO SAN JUAN,INUNDACION,0-500,600-700,25-30
226,2013,09,TOLIMA,IBAGUE,DESLIZAMIENTO,500-1000,100-200,25-30
227,2008,07,TOLIMA,CHAPARRAL,AVALANCHA,1000-1500,0-100,20-25
228,2013,08,TOLIMA,GUAMO,INCENDIO FORESTAL,0-500,0-100,25-30
229,2012,11,ANTIOQUIA,CAREPA,INUNDACION,0-500,300-400,25-30
230,2012,04,QUINDIO,ARMENIA,INUNDACION,1000-1500,200-300,20-25
231,2010,04,CUNDINAMARCA,SOACHA,INUNDACION,2500-3000,0-100,10-15
232,2008,06,ANTIOQUIA,VALDIVIA,DESLIZAMIENTO,1000-1500,400-500,20-25
233,2011,10,ATLANTICO,REPELON,INUNDACION,0-500,100-200,25-30
234,2007,10,MAGDALENA,SANTA MARTA,INUNDACION,0-500,200-300,25-30
235,2010,11,SANTANDER,BARRANCABERMEJA,DESLIZAMIENTO,0-500,300-400,25-30
236,2012,12,CAUCA,GUAPI,EXPLOSION,0-500,300-400,25-30
237,2010,10,SANTANDER,CERRITO,DESLIZAMIENTO,2500-3000,100-200,10-15
238,2013,02,ARAUCA,ARAUCA,INCENDIO FORESTAL,0-500,0-100,25-30
239,2011,05,NARINO,TUQUERRES,DESLIZAMIENTO,3000-3500,100-200,10-15
240,2004,05,BOGOTA DC,BOGOTA DC,DESLIZAMIENTO,2500-3000,0-100,10-15
241,2013,02,CUNDINAMARCA,FUSAGASUGA,DESLIZAMIENTO,1000-1500,100-200,20-25
242,2007,05,ATLANTICO,SOLEDAD,INUNDACION,0-500,100-200,25-30
243,2012,07,HUILA,GARZON,INCENDIO FORESTAL,1000-1500,0-100,15-20
244,2006,04,SANTANDER,PUERTO PARRA,INUNDACION,0-500,200-300,25-30
245,2003,05,CHOCO,RIO QUITO,INUNDACION,0-500,600-700,25-30
246,2010,02,NORTE DE SANTANDER,LA PLAYA,SEQUIA,1500-2000,0-100,15-20
247,2006,05,NORTE DE SANTANDER,OCANA,INUNDACION,1000-1500,100-200,20-25
248,2010,11,CHOCO,RIOSUCIO,INUNDACION,0-500,200-300,25-30
249,2011,11,SANTANDER,GIRON,INUNDACION,500-1000,0-100,25-30
250,2010,04,ANTIOQUIA,TURBO,INUNDACION,0-500,200-300,25-30
251,2006,05,NORTE DE SANTANDER,CACHIRA,DESLIZAMIENTO,1500-2000,100-200,15-20
252,2012,07,CESAR,AGUSTIN CODAZZI,INCENDIO ESTRUCTURAL,0-500,100-200,25-30
253,2007,12,BOLIVAR,VILLANUEVA,INUNDACION,0-500,0-100,25-30
254,2005,02,CHOCO,QUIBDO,INUNDACION,0-500,500-600,25-30
255,2012,09,CUNDINAMARCA,SOACHA,INCENDIO FORESTAL,2500-3000,0-100,10-15
256,2008,11,META,PUERTO RICO,INUNDACION,0-500,200-300,25-30
257,2008,11,TOLIMA,VILLAHERMOSA,INUNDACION,2000-2500,200-300,15-20
258,2005,01,BOYACA,PUERTO BOYACA,INUNDACION,0-500,0-100,25-30
259,2011,11,HUILA,LA PLATA,DESLIZAMIENTO,1000-1500,100-200,20-25
260,2012,08,SANTANDER,GUADALUPE,DESLIZAMIENTO,2000-2500,200-300,15-20
261,2006,11,LA GUAJIRA,DIBULLA,INUNDACION,0-500,200-300,25-30
262,2012,06,CUNDINAMARCA,PACHO,INCENDIO FORESTAL,2000-2500,0-100,15-20
263,2013,04,CAUCA,PIENDAMO,VENDAVAL,1500-2000,200-300,15-20
264,2005,12,ANTIOQUIA,TURBO,INUNDACION,0-500,100-200,25-30
265,2011,08,NORTE DE SANTANDER,CUCUTA,DESLIZAMIENTO,0-500,100-200,25-30
266,1998,12,VALLE DEL CAUCA,FLORIDA,INUNDACION,1000-1500,0-100,20-25
267,2011,12,CHOCO,QUIBDO,INUNDACION,0-500,600-700,25-30
268,2008,09,CORDOBA,PLANETA RICA,INUNDACION,0-500,100-200,25-30
269,2011,11,NARINO,SAMANIEGO,DESLIZAMIENTO,1500-2000,100-200,15-20
270,2013,04,TOLIMA,HONDA,INCENDIO ESTRUCTURAL,0-500,100-200,25-30
271,2013,10,TOLIMA,PURIFICACION,INCENDIO FORESTAL,0-500,200-300,25-30
272,2011,07,RISARALDA,PEREIRA,DESLIZAMIENTO,1000-1500,100-200,20-25
273,2003,09,ANTIOQUIA,CALDAS,INUNDACION,1500-2000,200-300,15-20
274,2013,04,TOLIMA,ROVIRA,INCENDIO FORESTAL,2000-2500,200-300,15-20
275,2012,08,SANTANDER,BUCARAMANGA,INUNDACION,1000-1500,0-100,20-25
276,2008,06,CASANARE,TAURAMENA,INUNDACION,0-500,400-500,20-25
277,2013,03,SANTANDER,BUCARAMANGA,DESLIZAMIENTO,1000-1500,100-200,20-25
278,2002,04,CHOCO,BOJAYA,INUNDACION,0-500,400-500,25-30
279,2010,11,CALDAS,MANIZALES,DESLIZAMIENTO,2000-2500,100-200,15-20
280,2012,09,CUNDINAMARCA,SUTATAUSA,INUNDACION,2500-3000,0-100,10-15
281,2012,08,HUILA,LA PLATA,INCENDIO FORESTAL,1000-1500,0-100,20-25
282,2013,06,TOLIMA,ROVIRA,DESLIZAMIENTO,2000-2500,100-200,15-20
283,2008,07,ANTIOQUIA,TAMESIS,INUNDACION,1000-1500,100-200,20-25
284,2006,04,BOGOTA DC,BOGOTA DC,INUNDACION,2500-3000,0-100,10-15
285,1999,10,CAUCA,PIENDAMO,DESLIZAMIENTO,1500-2000,200-300,15-20
286,2007,11,ANTIOQUIA,MEDELLIN,VENDAVAL,1000-1500,100-200,20-25
287,2010,04,SANTANDER,SABANA DE TORRES,INUNDACION,0-500,200-300,25-30
288,2008,12,CALDAS,SUPIA,INUNDACION,1000-1500,100-200,20-25
289,2013,10,SANTANDER,BUCARAMANGA,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
290,2000,05,NARINO,SAN ANDRES DE TUMACO,INUNDACION,0-500,300-400,25-30
291,2013,04,CAUCA,ARGELIA,VENDAVAL,1500-2000,100-200,20-25
292,2009,05,ANTIOQUIA,FREDONIA,COLAPSO,500-1000,200-300,25-30
293,2006,05,ANTIOQUIA,APARTADO,INUNDACION,0-500,300-400,25-30
294,2009,11,CESAR,SAN MARTIN,INUNDACION,0-500,200-300,25-30
295,2006,03,VALLE DEL CAUCA,ZARZAL,INUNDACION,500-1000,100-200,20-25
296,2011,11,RISARALDA,PEREIRA,INUNDACION,1000-1500,200-300,20-25
297,2011,09,CALDAS,AGUADAS,DESLIZAMIENTO,2000-2500,100-200,15-20
298,2013,06,MAGDALENA,ZONA BANANERA,INUNDACION,0-500,100-200,25-30
299,2007,03,CAUCA,SANTANDER DE QUILICHAO,INCENDIO ESTRUCTURAL,1000-1500,100-200,20-25
300,2003,10,LA GUAJIRA,HATONUEVO,INUNDACION,0-500,100-200,25-30
301,2003,09,CHOCO,QUIBDO,INCENDIO ESTRUCTURAL,0-500,700-800,25-30
302,2013,01,CUNDINAMARCA,GACHETA,INCENDIO FORESTAL,1500-2000,0-100,15-20
303,2009,07,ARAUCA,ARAUCA,INUNDACION,0-500,300-400,25-30
304,2011,05,LA GUAJIRA,RIOHACHA,INUNDACION,0-500,0-100,25-30
305,2007,06,META,PUERTO RICO,INUNDACION,0-500,400-500,20-25
306,2013,03,BOGOTA DC,BOGOTA DC,INCENDIO ESTRUCTURAL,2500-3000,0-100,10-15
307,1998,07,META,LEJANIAS,INUNDACION,500-1000,400-500,20-25
